## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.830134e-38
 1.122019e-08     4.132463e-38
 1.258925e-08     6.020227e-38
 1.412538e-08     8.730232e-38
 1.584893e-08     1.257478e-37
 1.778279e-08     1.795507e-37
 1.995263e-08     2.537235e-37
 2.238721e-08     3.543624e-37
 2.511887e-08     4.887162e-37
 2.818382e-08     6.652416e-37
 3.162278e-08     8.936957e-37
 3.548135e-08     1.185249e-36
 3.981071e-08     1.552669e-36
 4.466837e-08     2.010551e-36
 5.011870e-08     2.575577e-36
 5.623413e-08     3.266876e-36
 6.309576e-08     4.106376e-36
 7.079456e-08     5.119257e-36
 7.943284e-08     6.334516e-36
 8.912505e-08     7.785504e-36
 1.000000e-07     9.510735e-36
 1.122019e-07     1.155463e-35
 1.258925e-07     1.396850e-35
 1.412538e-07     1.681179e-35
 1.584892e-07     2.015312e-35
 1.778279e-07     2.407214e-35
 1.995263e-07     2.866095e-35
 2.238721e-07     3.402624e-35
 2.511887e-07     4.029177e-35
 2.818382e-07     4.760079e-35
 3.162278e-07     5.611951e-35
 3.548136e-07     6.604043e-35
 3.981071e-07     7.758654e-35
 4.466837e-07     9.101670e-35
 5.011870e-07     1.066303e-34
 5.623413e-07     1.247752e-34
 6.309576e-07     1.458538e-34
 7.079456e-07     1.703325e-34
 7.943284e-07     1.987525e-34
 8.912505e-07     2.317401e-34
 1.000000e-06     2.700223e-34
 1.122019e-06     3.144404e-34
 1.258925e-06     3.659693e-34
 1.412538e-06     4.257409e-34
 1.584893e-06     4.950636e-34
 1.778279e-06     5.754566e-34
 1.995263e-06     6.686794e-34
 2.238721e-06     7.767692e-34
 2.511887e-06     9.020900e-34
 2.818382e-06     1.047378e-33
 3.162278e-06     1.215807e-33
 3.548136e-06     1.411052e-33
 3.981071e-06     1.637372e-33
 4.466837e-06     1.899707e-33
 5.011870e-06     2.203772e-33
 5.623413e-06     2.556202e-33
 6.309576e-06     2.964675e-33
 7.079456e-06     3.438088e-33
 7.943284e-06     3.986764e-33
 8.912505e-06     4.622644e-33
 1.000000e-05     5.359591e-33
 1.122019e-05     6.213648e-33
 1.258925e-05     7.203399e-33
 1.412538e-05     8.350420e-33
 1.584893e-05     9.679663e-33
 1.778279e-05     1.122007e-32
 1.995263e-05     1.300519e-32
 2.238721e-05     1.507385e-32
 2.511887e-05     1.747110e-32
 2.818382e-05     2.024908e-32
 3.162278e-05     2.346830e-32
 3.548135e-05     2.719880e-32
 3.981071e-05     3.152172e-32
 4.466837e-05     3.653121e-32
 5.011870e-05     4.233617e-32
 5.623413e-05     4.906304e-32
 6.309577e-05     5.685817e-32
 7.079457e-05     6.589106e-32
 7.943284e-05     7.635840e-32
 8.912505e-05     8.848778e-32
 1.000000e-04     1.025434e-31
 1.122018e-04     1.188307e-31
 1.258926e-04     1.377042e-31
 1.412538e-04     1.595572e-31
 1.584893e-04     1.848433e-31
 1.778279e-04     2.140856e-31
 1.995262e-04     2.478847e-31
 2.238722e-04     2.869358e-31
 2.511887e-04     3.320530e-31
 2.818383e-04     3.842016e-31
 3.162278e-04     4.445346e-31
 3.548134e-04     5.144298e-31
 3.981073e-04     5.955304e-31
 4.466837e-04     6.897849e-31
 5.011873e-04     7.994971e-31
 5.623413e-04     9.273834e-31
 6.309572e-04     1.076645e-30
 7.079460e-04     1.251058e-30
 7.943284e-04     1.455078e-30
 8.912510e-04     1.693973e-30
 1.000000e-03     1.973977e-30
 1.122018e-03     2.302471e-30
 1.258926e-03     2.688215e-30
 1.412538e-03     3.141585e-30
 1.584893e-03     3.674913e-30
 1.778279e-03     4.302847e-30
 1.995262e-03     5.042800e-30
 2.238722e-03     5.915481e-30
 2.511887e-03     6.945524e-30
 2.818383e-03     8.162270e-30
 3.162278e-03     9.600671e-30
 3.548133e-03     1.130237e-29
 3.981073e-03     1.331705e-29
 4.466837e-03     1.570391e-29
 5.011873e-03     1.853365e-29
 5.623413e-03     2.189066e-29
 6.309573e-03     2.587578e-29
 7.079460e-03     3.060956e-29
 7.943284e-03     3.623638e-29
 8.912510e-03     4.292958e-29
 1.000000e-02     5.089792e-29
 1.122019e-02     6.039401e-29
 1.258925e-02     7.172489e-29
 1.412538e-02     8.526659e-29
 1.584894e-02     1.014809e-28
 1.778279e-02     1.209377e-28
 1.995263e-02     1.443422e-28
 2.238721e-02     1.725654e-28
 2.511887e-02     2.066817e-28
 2.818385e-02     2.480089e-28
 3.162277e-02     2.981534e-28
 3.548136e-02     3.590627e-28
 3.981071e-02     4.330743e-28
 4.466837e-02     5.229821e-28
 5.011876e-02     6.320972e-28
 5.623413e-02     7.643257e-28
 6.309576e-02     9.242636e-28
 7.079456e-02     1.117293e-27
 7.943284e-02     1.349727e-27
 8.912515e-02     1.628954e-27
 1.000000e-01     1.963641e-27
 1.122019e-01     2.363987e-27
 1.258925e-01     2.841662e-27
 1.412538e-01     3.408812e-27
 1.584894e-01     4.077778e-27
 1.778279e-01     4.860296e-27
 1.995263e-01     5.766291e-27
 2.238721e-01     6.802537e-27
 2.511887e-01     7.971651e-27
 2.818385e-01     9.271592e-27
