## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     5.666317e-37
 1.122019e-08     8.241221e-37
 1.258925e-08     1.181650e-36
 1.412538e-08     1.662749e-36
 1.584893e-08     2.295090e-36
 1.778279e-08     3.110826e-36
 1.995263e-08     4.146985e-36
 2.238721e-08     5.445976e-36
 2.511887e-08     7.056348e-36
 2.818382e-08     9.033576e-36
 3.162278e-08     1.144124e-35
 3.548135e-08     1.435218e-35
 3.981071e-08     1.785013e-35
 4.466837e-08     2.203151e-35
 5.011870e-08     2.700737e-35
 5.623413e-08     3.290610e-35
 6.309576e-08     3.987593e-35
 7.079456e-08     4.808828e-35
 7.943284e-08     5.774185e-35
 8.912505e-08     6.906633e-35
 1.000000e-07     8.232824e-35
 1.122019e-07     9.783609e-35
 1.258925e-07     1.159472e-34
 1.412538e-07     1.370766e-34
 1.584892e-07     1.617039e-34
 1.778279e-07     1.903865e-34
 1.995263e-07     2.237696e-34
 2.238721e-07     2.626007e-34
 2.511887e-07     3.077473e-34
 2.818382e-07     3.602135e-34
 3.162278e-07     4.211647e-34
 3.548136e-07     4.919500e-34
 3.981071e-07     5.741327e-34
 4.466837e-07     6.695275e-34
 5.011870e-07     7.802331e-34
 5.623413e-07     9.086863e-34
 6.309576e-07     1.057707e-33
 7.079456e-07     1.230565e-33
 7.943284e-07     1.431050e-33
 8.912505e-07     1.663551e-33
 1.000000e-06     1.933160e-33
 1.122019e-06     2.245772e-33
 1.258925e-06     2.608215e-33
 1.412538e-06     3.028417e-33
 1.584893e-06     3.515543e-33
 1.778279e-06     4.080233e-33
 1.995263e-06     4.734810e-33
 2.238721e-06     5.493543e-33
 2.511887e-06     6.372986e-33
 2.818382e-06     7.392302e-33
 3.162278e-06     8.573723e-33
 3.548136e-06     9.942987e-33
 3.981071e-06     1.152991e-32
 4.466837e-06     1.336909e-32
