## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     3.016885e-43
 1.122019e-08     4.392300e-43
 1.258925e-08     6.256011e-43
 1.412538e-08     8.715898e-43
 1.584893e-08     1.190285e-42
 1.778279e-08     1.596773e-42
 1.995263e-08     2.108282e-42
 2.238721e-08     2.744450e-42
 2.511887e-08     3.527710e-42
 2.818382e-08     4.483695e-42
 3.162278e-08     5.641802e-42
 3.548135e-08     7.035756e-42
 3.981071e-08     8.704362e-42
 4.466837e-08     1.069237e-41
 5.011870e-08     1.305138e-41
 5.623413e-08     1.584108e-41
 6.309576e-08     1.913045e-41
 7.079456e-08     2.299929e-41
 7.943284e-08     2.754014e-41
 8.912505e-08     3.286001e-41
 1.000000e-07     3.908310e-41
 1.122019e-07     4.635317e-41
 1.258925e-07     5.483677e-41
 1.412538e-07     6.472731e-41
 1.584892e-07     7.624837e-41
 1.778279e-07     8.965981e-41
 1.995263e-07     1.052623e-40
 2.238721e-07     1.234043e-40
 2.511887e-07     1.444901e-40
 2.818382e-07     1.689877e-40
 3.162278e-07     1.974404e-40
 3.548136e-07     2.304770e-40
 3.981071e-07     2.688260e-40
 4.466837e-07     3.133333e-40
 5.011870e-07     3.649769e-40
 5.623413e-07     4.248926e-40
 6.309576e-07     4.943950e-40
 7.079456e-07     5.750071e-40
 7.943284e-07     6.684962e-40
 8.912505e-07     7.769071e-40
 1.000000e-06     9.026133e-40
 1.122019e-06     1.048362e-39
 1.258925e-06     1.217335e-39
 1.412538e-06     1.413228e-39
 1.584893e-06     1.640312e-39
 1.778279e-06     1.903545e-39
 1.995263e-06     2.208671e-39
 2.238721e-06     2.562339e-39
 2.511887e-06     2.972265e-39
 2.818382e-06     3.447379e-39
 3.162278e-06     3.998041e-39
 3.548136e-06     4.636248e-39
 3.981071e-06     5.375893e-39
 4.466837e-06     6.233104e-39
 5.011870e-06     7.226532e-39
 5.623413e-06     8.377829e-39
 6.309576e-06     9.712056e-39
 7.079456e-06     1.125825e-38
