## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.333144e-44
 1.122019e-08     1.940213e-44
 1.258925e-08     2.761581e-44
 1.412538e-08     3.844690e-44
 1.584893e-08     5.246988e-44
 1.778279e-08     7.034606e-44
 1.995263e-08     9.283008e-44
 2.238721e-08     1.207820e-43
 2.511887e-08     1.551846e-43
 2.818382e-08     1.971605e-43
 3.162278e-08     2.479977e-43
 3.548135e-08     3.091735e-43
 3.981071e-08     3.823883e-43
 4.466837e-08     4.696031e-43
 5.011870e-08     5.730784e-43
 5.623413e-08     6.954302e-43
 6.309576e-08     8.396812e-43
 7.079456e-08     1.009329e-42
 7.943284e-08     1.208428e-42
 8.912505e-08     1.441670e-42
 1.000000e-07     1.714496e-42
 1.122019e-07     2.033207e-42
 1.258925e-07     2.405103e-42
 1.412538e-07     2.838660e-42
 1.584892e-07     3.343677e-42
 1.778279e-07     3.931541e-42
 1.995263e-07     4.615430e-42
 2.238721e-07     5.410616e-42
 2.511887e-07     6.334818e-42
 2.818382e-07     7.408548e-42
 3.162278e-07     8.655612e-42
 3.548136e-07     1.010357e-41
 3.981071e-07     1.178435e-41
 4.466837e-07     1.373502e-41
 5.011870e-07     1.599846e-41
 5.623413e-07     1.862442e-41
 6.309576e-07     2.167053e-41
 7.079456e-07     2.520353e-41
 7.943284e-07     2.930088e-41
 8.912505e-07     3.405219e-41
 1.000000e-06     3.956148e-41
 1.122019e-06     4.594914e-41
 1.258925e-06     5.335465e-41
 1.412538e-06     6.193992e-41
 1.584893e-06     7.189217e-41
 1.778279e-06     8.342869e-41
 1.995263e-06     9.680119e-41
 2.238721e-06     1.123011e-40
 2.511887e-06     1.302665e-40
 2.818382e-06     1.510889e-40
 3.162278e-06     1.752222e-40
 3.548136e-06     2.031923e-40
 3.981071e-06     2.356079e-40
 4.466837e-06     2.731759e-40
 5.011870e-06     3.167137e-40
 5.623413e-06     3.671703e-40
 6.309576e-06     4.256439e-40
 7.079456e-06     4.934070e-40
 7.943284e-06     5.719360e-40
 8.912505e-06     6.629388e-40
 1.000000e-05     7.683983e-40
 1.122019e-05     8.906090e-40
 1.258925e-05     1.032229e-39
 1.412538e-05     1.196344e-39
 1.584893e-05     1.386523e-39
 1.778279e-05     1.606906e-39
 1.995263e-05     1.862289e-39
 2.238721e-05     2.158227e-39
 2.511887e-05     2.501163e-39
 2.818382e-05     2.898556e-39
 3.162278e-05     3.359057e-39
 3.548135e-05     3.892684e-39
 3.981071e-05     4.511044e-39
 4.466837e-05     5.227600e-39
 5.011870e-05     6.057930e-39
 5.623413e-05     7.020117e-39
 6.309577e-05     8.135089e-39
 7.079457e-05     9.427088e-39
 7.943284e-05     1.092425e-38
 8.912505e-05     1.265912e-38
 1.000000e-04     1.466948e-38
 1.122018e-04     1.699903e-38
 1.258926e-04     1.969491e-38
 1.412538e-04     2.273278e-38
 1.584893e-04     2.624468e-38
 1.778279e-04     3.032397e-38
 1.995262e-04     3.506868e-38
 2.238722e-04     4.059281e-38
 2.511887e-04     4.703059e-38
 2.818383e-04     5.454039e-38
 3.162278e-04     6.330919e-38
 3.548134e-04     7.355787e-38
 3.981073e-04     8.554768e-38
 4.466837e-04     9.958760e-38
 5.011873e-04     1.160437e-37
 5.623413e-04     1.353496e-37
 6.309572e-04     1.580195e-37
 7.079460e-04     1.846641e-37
 7.943284e-04     2.160073e-37
 8.912510e-04     2.529101e-37
 1.000000e-03     2.963956e-37
 1.122018e-03     3.476808e-37
 1.258926e-03     4.082147e-37
 1.412538e-03     4.797202e-37
 1.584893e-03     5.642519e-37
 1.778279e-03     6.642579e-37
 1.995262e-03     7.826571e-37
 2.238722e-03     9.229315e-37
 2.511887e-03     1.089234e-36
 2.818383e-03     1.286525e-36
 3.162278e-03     1.520728e-36
 3.548133e-03     1.798917e-36
 3.981073e-03     2.129551e-36
 4.466837e-03     2.522736e-36
 5.011873e-03     2.990575e-36
 5.623413e-03     3.547577e-36
 6.309573e-03     4.211212e-36
 7.079460e-03     5.002651e-36
 7.943284e-03     5.947792e-36
 8.912510e-03     7.078689e-36
 1.000000e-02     8.435418e-36
 1.122019e-02     1.006841e-35
 1.258925e-02     1.204109e-35
 1.412538e-02     1.443296e-35
 1.584894e-02     1.734236e-35
 1.778279e-02     2.088947e-35
 1.995263e-02     2.521919e-35
 2.238721e-02     3.050366e-35
 2.511887e-02     3.694552e-35
 2.818385e-02     4.478125e-35
 3.162277e-02     5.428556e-35
 3.548136e-02     6.577764e-35
 3.981071e-02     7.962759e-35
 4.466837e-02     9.626718e-35
 5.011876e-02     1.162007e-34
 5.623413e-02     1.400199e-34
 6.309576e-02     1.684230e-34
 7.079456e-02     2.022341e-34
 7.943284e-02     2.424318e-34
 8.912515e-02     2.901777e-34
 1.000000e-01     3.468538e-34
 1.122019e-01     4.141609e-34
 1.258925e-01     4.914417e-34
 1.412538e-01     5.751931e-34
 1.584894e-01     6.643827e-34
 1.778279e-01     7.583250e-34
 1.995263e-01     8.563975e-34
 2.238721e-01     9.580210e-34
 2.511887e-01     1.062680e-33
 2.818385e-01     1.169930e-33
 3.162278e-01     1.279402e-33
 3.548135e-01     1.390806e-33
 3.981071e-01     1.503925e-33
 4.466837e-01     1.618618e-33
 5.011876e-01     1.734801e-33
 5.623413e-01     1.852448e-33
 6.309576e-01     1.970529e-33
 7.079456e-01     2.090482e-33
 7.943284e-01     2.211795e-33
 8.912515e-01     2.334324e-33
 1.000000e+00     2.457901e-33
 1.122019e+00     2.582216e-33
 1.258925e+00     2.706720e-33
 1.412538e+00     2.830504e-33
 1.584894e+00     2.952109e-33
 1.778279e+00     3.069269e-33
 1.995263e+00     3.178574e-33
