## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     4.519225e-47
 1.122019e-08     6.574773e-47
 1.258925e-08     9.331492e-47
 1.412538e-08     1.295528e-46
 1.584893e-08     1.763623e-46
 1.778279e-08     2.359161e-46
 1.995263e-08     3.106921e-46
 2.238721e-08     4.035142e-46
 2.511887e-08     5.176094e-46
 2.818382e-08     6.566660e-46
 3.162278e-08     8.249156e-46
 3.548135e-08     1.027215e-45
 3.981071e-08     1.269153e-45
 4.466837e-08     1.557179e-45
 5.011870e-08     1.898727e-45
 5.623413e-08     2.302404e-45
 6.309576e-08     2.778154e-45
 7.079456e-08     3.337483e-45
 7.943284e-08     3.993735e-45
 8.912505e-08     4.762342e-45
 1.000000e-07     5.661216e-45
 1.122019e-07     6.711088e-45
 1.258925e-07     7.935980e-45
 1.412538e-07     9.363782e-45
 1.584892e-07     1.102674e-44
 1.778279e-07     1.296234e-44
 1.995263e-07     1.521392e-44
 2.238721e-07     1.783176e-44
 2.511887e-07     2.087416e-44
 2.818382e-07     2.440861e-44
 3.162278e-07     2.851346e-44
 3.548136e-07     3.327940e-44
 3.981071e-07     3.881150e-44
 4.466837e-07     4.523173e-44
 5.011870e-07     5.268116e-44
 5.623413e-07     6.132358e-44
 6.309576e-07     7.134856e-44
 7.079456e-07     8.297576e-44
 7.943284e-07     9.646005e-44
 8.912505e-07     1.120963e-43
 1.000000e-06     1.302268e-43
 1.122019e-06     1.512478e-43
 1.258925e-06     1.756181e-43
 1.412538e-06     2.038707e-43
 1.584893e-06     2.366215e-43
 1.778279e-06     2.745856e-43
 1.995263e-06     3.185912e-43
 2.238721e-06     3.695974e-43
 2.511887e-06     4.287168e-43
 2.818382e-06     4.972372e-43
 3.162278e-06     5.766529e-43
 3.548136e-06     6.686938e-43
 3.981071e-06     7.753636e-43
 4.466837e-06     8.989879e-43
 5.011870e-06     1.042257e-42
 5.623413e-06     1.208293e-42
 6.309576e-06     1.400710e-42
 7.079456e-06     1.623694e-42
 7.943284e-06     1.882106e-42
 8.912505e-06     2.181565e-42
 1.000000e-05     2.528595e-42
 1.122019e-05     2.930747e-42
 1.258925e-05     3.396768e-42
 1.412538e-05     3.936812e-42
 1.584893e-05     4.562621e-42
 1.778279e-05     5.287819e-42
 1.995263e-05     6.128193e-42
 2.238721e-05     7.102016e-42
 2.511887e-05     8.230493e-42
 2.818382e-05     9.538164e-42
 3.162278e-05     1.105350e-41
 3.548135e-05     1.280947e-41
 3.981071e-05     1.484426e-41
 4.466837e-05     1.720218e-41
 5.011870e-05     1.993449e-41
 5.623413e-05     2.310068e-41
 6.309577e-05     2.676964e-41
 7.079457e-05     3.102112e-41
 7.943284e-05     3.594772e-41
 8.912505e-05     4.165653e-41
 1.000000e-04     4.827186e-41
 1.122018e-04     5.593753e-41
 1.258926e-04     6.480572e-41
 1.412538e-04     7.476436e-41
 1.584893e-04     8.631862e-41
 1.778279e-04     9.974684e-41
 1.995262e-04     1.153679e-40
 2.238722e-04     1.335575e-40
 2.511887e-04     1.547582e-40
 2.818383e-04     1.794925e-40
 3.162278e-04     2.083772e-40
 3.548134e-04     2.421409e-40
 3.981073e-04     2.816458e-40
 4.466837e-04     3.279114e-40
 5.011873e-04     3.821458e-40
 5.623413e-04     4.457802e-40
 6.309572e-04     5.205123e-40
 7.079460e-04     6.083570e-40
 7.943284e-04     7.117053e-40
 8.912510e-04     8.333993e-40
 1.000000e-03     9.768177e-40
 1.122018e-03     1.145978e-39
 1.258926e-03     1.345667e-39
 1.412538e-03     1.581574e-39
 1.584893e-03     1.860485e-39
 1.778279e-03     2.190486e-39
 1.995262e-03     2.581219e-39
 2.238722e-03     3.044186e-39
 2.511887e-03     3.593108e-39
 2.818383e-03     4.244372e-39
 3.162278e-03     5.017548e-39
 3.548133e-03     5.936009e-39
 3.981073e-03     7.027708e-39
 4.466837e-03     8.326040e-39
 5.011873e-03     9.871002e-39
 5.623413e-03     1.171056e-38
 6.309573e-03     1.390250e-38
 7.079460e-03     1.651691e-38
 7.943284e-03     1.963963e-38
 8.912510e-03     2.337709e-38
 1.000000e-02     2.786249e-38
 1.122019e-02     3.326359e-38
 1.258925e-02     3.979142e-38
 1.412538e-02     4.771020e-38
 1.584894e-02     5.734638e-38
 1.778279e-02     6.909820e-38
 1.995263e-02     8.344490e-38
 2.238721e-02     1.009548e-37
 2.511887e-02     1.222959e-37
 2.818385e-02     1.482472e-37
 3.162277e-02     1.797127e-37
 3.548136e-02     2.177429e-37
 3.981071e-02     2.635561e-37
 4.466837e-02     3.185740e-37
 5.011876e-02     3.844580e-37
 5.623413e-02     4.631589e-37
 6.309576e-02     5.569792e-37
 7.079456e-02     6.686387e-37
 7.943284e-02     8.013676e-37
 8.912515e-02     9.590009e-37
 1.000000e-01     1.146102e-36
 1.122019e-01     1.368330e-36
 1.258925e-01     1.622089e-36
 1.412538e-01     1.894990e-36
 1.584894e-01     2.184963e-36
 1.778279e-01     2.489945e-36
 1.995263e-01     2.807953e-36
 2.238721e-01     3.137145e-36
 2.511887e-01     3.475891e-36
 2.818385e-01     3.822792e-36
 3.162278e-01     4.176693e-36
 3.548135e-01     4.536701e-36
 3.981071e-01     4.902152e-36
 4.466837e-01     5.272616e-36
 5.011876e-01     5.647857e-36
 5.623413e-01     6.027815e-36
 6.309576e-01     6.410927e-36
 7.079456e-01     6.799797e-36
 7.943284e-01     7.193517e-36
 8.912515e-01     7.592208e-36
 1.000000e+00     7.995898e-36
 1.122019e+00     8.404434e-36
 1.258925e+00     8.817315e-36
 1.412538e+00     9.233524e-36
 1.584894e+00     9.651203e-36
 1.778279e+00     1.006725e-35
 1.995263e+00     1.047669e-35
 2.238721e+00     1.087179e-35
 2.511887e+00     1.124084e-35
 2.818385e+00     1.156651e-35
 3.162278e+00     1.182384e-35
 3.548136e+00     1.197826e-35
 3.981071e+00     1.198422e-35
 4.466837e+00     1.178662e-35
 5.011876e+00     1.132767e-35
 5.623413e+00     1.054702e-35
 6.309576e+00     9.470945e-36
 7.079456e+00     8.084484e-36
 7.943284e+00     6.674535e-36
 8.912516e+00     5.362883e-36
 1.000000e+01     4.242332e-36
 1.122019e+01     3.337509e-36
 1.258925e+01     2.628049e-36
 1.412538e+01     2.079578e-36
 1.584894e+01     1.657117e-36
 1.778279e+01     1.331682e-36
 1.995263e+01     1.079673e-36
 2.238721e+01     8.832089e-37
 2.511887e+01     7.284802e-37
 2.818385e+01     6.056522e-37
 3.162278e+01     5.069829e-37
 3.548135e+01     4.270751e-37
 3.981071e+01     3.618552e-37
 4.466837e+01     3.081258e-37
 5.011876e+01     2.636300e-37
 5.623413e+01     2.265887e-37
 6.309576e+01     1.955284e-37
 7.079456e+01     1.694248e-37
 7.943284e+01     1.474039e-37
 8.912515e+01     1.287692e-37
 1.000000e+02     1.129418e-37
 1.120000e+02     9.968173e-38
 1.250000e+02     8.868950e-38
 1.400000e+02     7.898704e-38
 1.550000e+02     7.147203e-38
 1.650000e+02     6.735785e-38
 1.750000e+02     6.382011e-38
 1.850000e+02     6.081086e-38
 1.900000e+02     5.960382e-38
 1.950000e+02     5.877145e-38
 2.000000e+02     5.866976e-38
 2.050000e+02     6.004999e-38
 2.100000e+02     6.442399e-38
 2.150000e+02     7.471420e-38
 2.180000e+02     8.584105e-38
 2.210000e+02     1.028242e-37
 2.240000e+02     1.282688e-37
 2.260000e+02     1.516764e-37
 2.270000e+02     1.658126e-37
 2.275000e+02     1.735750e-37
 2.278400e+02     1.791366e-37
 2.380000e+02     1.397617e-25
 2.500000e+02     1.416554e-25
 2.700000e+02     1.447113e-25
 2.900000e+02     1.476263e-25
 3.035000e+02     1.495103e-25
 3.037800e+02     1.495530e-25
 3.045000e+02     1.496487e-25
 3.060000e+02     1.498525e-25
 3.080000e+02     1.501267e-25
 3.100000e+02     1.503942e-25
 3.120000e+02     1.506659e-25
 3.150000e+02     1.510657e-25
 3.200000e+02     1.517239e-25
 3.250000e+02     1.523789e-25
 3.300000e+02     1.530210e-25
 3.400000e+02     1.542810e-25
 3.600000e+02     1.567081e-25
 3.800000e+02     1.590155e-25
 4.050000e+02     1.617660e-25
 4.250000e+02     1.638712e-25
 4.500000e+02     1.663927e-25
 4.650000e+02     1.678926e-25
 4.750000e+02     1.688661e-25
 4.820000e+02     1.695423e-25
 4.870000e+02     1.700189e-25
 4.910000e+02     1.703989e-25
 4.950000e+02     1.707768e-25
 4.980000e+02     1.710603e-25
 5.000000e+02     1.712449e-25
 5.020000e+02     1.714458e-25
 5.039800e+02     1.716394e-25
 5.100000e+02     2.297448e-25
 5.250000e+02     2.299560e-25
 5.600000e+02     2.304979e-25
 6.000000e+02     2.313988e-25
 6.500000e+02     2.337939e-25
 7.000000e+02     2.381045e-25
 7.500000e+02     2.456668e-25
 8.000000e+02     2.571740e-25
 8.300000e+02     2.666708e-25
 8.600000e+02     2.783996e-25
 8.800000e+02     2.875643e-25
 8.900000e+02     2.925906e-25
 8.960000e+02     2.957414e-25
 9.000000e+02     2.979201e-25
 9.030000e+02     2.995740e-25
 9.060000e+02     3.012564e-25
 9.090000e+02     3.029672e-25
 9.117800e+02     3.045779e-25
 9.300000e+02     2.948640e-22
 9.500000e+02     6.807701e-22
 9.750000e+02     9.761634e-22
 9.900000e+02     9.137844e-22
 1.005000e+03     8.745332e-22
 1.025000e+03     1.045024e-21
 1.045000e+03     1.045407e-21
 1.065000e+03     1.144062e-21
 1.085000e+03     1.272217e-21
 1.105000e+03     1.237460e-21
 1.125000e+03     1.272258e-21
 1.145000e+03     1.234624e-21
 1.165000e+03     1.254902e-21
 1.185000e+03     1.235796e-21
 1.205000e+03     1.210318e-21
 1.215600e+03     1.185629e-21
 1.215670e+03     7.074954e-21
 1.216000e+03     1.184628e-21
 1.218000e+03     1.179495e-21
 1.221000e+03     1.171503e-21
 1.225000e+03     1.155818e-21
 1.230000e+03     1.127218e-21
 1.240000e+03     1.094830e-21
 1.250000e+03     1.118863e-21
 1.265000e+03     1.264686e-21
 1.285000e+03     1.350801e-21
 1.305000e+03     1.350622e-21
 1.325000e+03     1.349336e-21
 1.345000e+03     1.348464e-21
 1.365000e+03     1.359041e-21
 1.385000e+03     1.357807e-21
 1.405000e+03     1.332185e-21
 1.425000e+03     1.288619e-21
 1.442000e+03     1.273963e-21
 1.455000e+03     1.302654e-21
 1.475000e+03     1.315990e-21
