## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.639558e-37
 1.122019e-08     2.383424e-37
 1.258925e-08     3.410758e-37
 1.412538e-08     4.785594e-37
 1.584893e-08     6.584212e-37
 1.778279e-08     8.895547e-37
 1.995263e-08     1.182201e-36
 2.238721e-08     1.548078e-36
 2.511887e-08     2.000597e-36
 2.818382e-08     2.555074e-36
 3.162278e-08     3.229067e-36
 3.548135e-08     4.042701e-36
 3.981071e-08     5.019111e-36
 4.466837e-08     6.184959e-36
 5.011870e-08     7.570957e-36
 5.623413e-08     9.212623e-36
 6.309576e-08     1.115097e-35
 7.079456e-08     1.343346e-35
 7.943284e-08     1.611507e-35
 8.912505e-08     1.925942e-35
 1.000000e-07     2.294028e-35
 1.122019e-07     2.724307e-35
 1.258925e-07     3.226675e-35
 1.412538e-07     3.812618e-35
 1.584892e-07     4.495424e-35
 1.778279e-07     5.290526e-35
 1.995263e-07     6.215786e-35
 2.238721e-07     7.291907e-35
 2.511887e-07     8.542906e-35
 2.818382e-07     9.996590e-35
 3.162278e-07     1.168523e-34
 3.548136e-07     1.364618e-34
 3.981071e-07     1.592273e-34
 4.466837e-07     1.856512e-34
 5.011870e-07     2.163147e-34
 5.623413e-07     2.518924e-34
 6.309576e-07     2.931655e-34
 7.079456e-07     3.410388e-34
 7.943284e-07     3.965623e-34
 8.912505e-07     4.609506e-34
 1.000000e-06     5.356142e-34
 1.122019e-06     6.221850e-34
 1.258925e-06     7.225538e-34
 1.412538e-06     8.389156e-34
 1.584893e-06     9.738085e-34
 1.778279e-06     1.130178e-33
 1.995263e-06     1.311437e-33
 2.238721e-06     1.521535e-33
 2.511887e-06     1.765058e-33
 2.818382e-06     2.047310e-33
 3.162278e-06     2.374447e-33
 3.548136e-06     2.753596e-33
 3.981071e-06     3.193012e-33
 4.466837e-06     3.702276e-33
 5.011870e-06     4.292470e-33
 5.623413e-06     4.976460e-33
 6.309576e-06     5.769132e-33
 7.079456e-06     6.687738e-33
 7.943284e-06     7.752295e-33
 8.912505e-06     8.985955e-33
 1.000000e-05     1.041560e-32
 1.122019e-05     1.207233e-32
 1.258925e-05     1.399219e-32
 1.412538e-05     1.621701e-32
 1.584893e-05     1.879517e-32
 1.778279e-05     2.178278e-32
 1.995263e-05     2.524490e-32
 2.238721e-05     2.925680e-32
 2.511887e-05     3.390584e-32
 2.818382e-05     3.929314e-32
 3.162278e-05     4.553598e-32
 3.548135e-05     5.277016e-32
 3.981071e-05     6.115304e-32
 4.466837e-05     7.086715e-32
 5.011870e-05     8.212366e-32
 5.623413e-05     9.516771e-32
 6.309577e-05     1.102830e-31
 7.079457e-05     1.277983e-31
 7.943284e-05     1.480949e-31
 8.912505e-05     1.716140e-31
 1.000000e-04     1.988679e-31
 1.122018e-04     2.304489e-31
 1.258926e-04     2.670004e-31
 1.412538e-04     3.085413e-31
 1.584893e-04     3.563476e-31
 1.778279e-04     4.116950e-31
 1.995262e-04     4.759649e-31
 2.238722e-04     5.507258e-31
 2.511887e-04     6.377985e-31
 2.818383e-04     7.393191e-31
 3.162278e-04     8.578038e-31
 3.548134e-04     9.962212e-31
 3.981073e-04     1.158081e-30
 4.466837e-04     1.347532e-30
 5.011873e-04     1.569488e-30
 5.623413e-04     1.829767e-30
 6.309572e-04     2.135269e-30
 7.079460e-04     2.494178e-30
 7.943284e-04     2.916203e-30
 8.912510e-04     3.412881e-30
 1.000000e-03     3.997922e-30
 1.122018e-03     4.687623e-30
 1.258926e-03     5.501390e-30
 1.412538e-03     6.462290e-30
 1.584893e-03     7.597821e-30
 1.778279e-03     8.940745e-30
 1.995262e-03     1.053011e-29
 2.238722e-03     1.241250e-29
 2.511887e-03     1.464343e-29
 2.818383e-03     1.728925e-29
 3.162278e-03     2.042916e-29
 3.548133e-03     2.415767e-29
 3.981073e-03     2.858786e-29
 4.466837e-03     3.385475e-29
 5.011873e-03     4.012000e-29
 5.623413e-03     4.757728e-29
 6.309573e-03     5.645945e-29
 7.079460e-03     6.704807e-29
 7.943284e-03     7.968629e-29
 8.912510e-03     9.479697e-29
 1.000000e-02     1.129064e-28
 1.122019e-02     1.346744e-28
 1.258925e-02     1.609300e-28
 1.412538e-02     1.927129e-28
 1.584894e-02     2.313132e-28
 1.778279e-02     2.783159e-28
 1.995263e-02     3.356425e-28
 2.238721e-02     4.055899e-28
 2.511887e-02     4.908770e-28
 2.818385e-02     5.946911e-28
 3.162277e-02     7.207459e-28
 3.548136e-02     8.733635e-28
 3.981071e-02     1.057558e-27
 4.466837e-02     1.279172e-27
 5.011876e-02     1.545022e-27
 5.623413e-02     1.863092e-27
 6.309576e-02     2.242782e-27
 7.079456e-02     2.695172e-27
 7.943284e-02     3.233398e-27
 8.912515e-02     3.873032e-27
 1.000000e-01     4.632587e-27
 1.122019e-01     5.534795e-27
 1.258925e-01     6.579621e-27
 1.412538e-01     7.737327e-27
 1.584894e-01     8.988206e-27
 1.778279e-01     1.031785e-26
 1.995263e-01     1.171473e-26
 2.238721e-01     1.316907e-26
 2.511887e-01     1.467243e-26
 2.818385e-01     1.621759e-26
 3.162278e-01     1.779846e-26
 3.548135e-01     1.941017e-26
 3.981071e-01     2.104891e-26
 4.466837e-01     2.271200e-26
 5.011876e-01     2.439770e-26
 5.623413e-01     2.610512e-26
 6.309576e-01     2.783411e-26
 7.079456e-01     2.958530e-26
 7.943284e-01     3.135984e-26
 8.912515e-01     3.315928e-26
 1.000000e+00     3.498549e-26
 1.122019e+00     3.684061e-26
 1.258925e+00     3.872692e-26
 1.412538e+00     4.064677e-26
 1.584894e+00     4.260250e-26
 1.778279e+00     4.459630e-26
 1.995263e+00     4.663027e-26
 2.238721e+00     4.870607e-26
 2.511887e+00     5.082493e-26
 2.818385e+00     5.298727e-26
 3.162278e+00     5.519236e-26
 3.548136e+00     5.743780e-26
 3.981071e+00     5.971852e-26
 4.466837e+00     6.202566e-26
 5.011876e+00     6.434455e-26
 5.623413e+00     6.665235e-26
 6.309576e+00     6.887290e-26
 7.079456e+00     7.065957e-26
 7.943284e+00     7.256043e-26
 8.912516e+00     7.480959e-26
 1.000000e+01     7.754361e-26
 1.122019e+01     8.071030e-26
 1.258925e+01     8.451929e-26
 1.412538e+01     8.822128e-26
 1.584894e+01     9.250959e-26
 1.778279e+01     9.770812e-26
 1.995263e+01     1.013969e-25
 2.238721e+01     1.046689e-25
 2.511887e+01     1.067628e-25
 2.818385e+01     1.074033e-25
 3.162278e+01     1.061988e-25
 3.548135e+01     1.032437e-25
 3.981071e+01     9.887889e-26
 4.466837e+01     9.335712e-26
 5.011876e+01     8.709526e-26
 5.623413e+01     8.048205e-26
 6.309576e+01     7.393481e-26
 7.079456e+01     6.772288e-26
 7.943284e+01     6.206312e-26
 8.912515e+01     5.709084e-26
 1.000000e+02     5.282145e-26
 1.120000e+02     4.930586e-26
 1.250000e+02     4.648412e-26
 1.400000e+02     4.411912e-26
 1.550000e+02     4.242406e-26
 1.650000e+02     4.155677e-26
 1.750000e+02     4.088306e-26
 1.850000e+02     4.040768e-26
 1.900000e+02     4.036955e-26
 1.950000e+02     4.065891e-26
 2.000000e+02     4.166568e-26
 2.050000e+02     4.423316e-26
 2.100000e+02     5.004058e-26
 2.150000e+02     6.250486e-26
 2.180000e+02     7.560921e-26
 2.210000e+02     9.554667e-26
 2.240000e+02     1.252932e-25
 2.260000e+02     1.527259e-25
 2.270000e+02     1.693264e-25
 2.275000e+02     1.784467e-25
 2.278400e+02     1.849897e-25
 2.380000e+02     1.255199e-23
 2.500000e+02     2.813775e-23
 2.700000e+02     4.383935e-23
 2.900000e+02     5.372084e-23
 3.035000e+02     5.878535e-23
 3.037800e+02     8.042157e-23
 3.045000e+02     7.949518e-23
 3.060000e+02     7.787924e-23
 3.080000e+02     7.611800e-23
 3.100000e+02     7.460703e-23
 3.120000e+02     7.331441e-23
 3.150000e+02     7.184158e-23
 3.200000e+02     7.028152e-23
 3.250000e+02     6.958530e-23
 3.300000e+02     6.946461e-23
 3.400000e+02     7.049874e-23
 3.600000e+02     7.474289e-23
 3.800000e+02     7.984400e-23
 4.050000e+02     8.632602e-23
 4.250000e+02     9.156611e-23
 4.500000e+02     9.810006e-23
 4.650000e+02     1.019802e-22
 4.750000e+02     1.046077e-22
 4.820000e+02     1.064796e-22
 4.870000e+02     1.077823e-22
 4.910000e+02     1.087742e-22
 4.950000e+02     1.098224e-22
 4.980000e+02     1.106243e-22
 5.000000e+02     1.111230e-22
 5.020000e+02     1.116249e-22
 5.039800e+02     1.121784e-22
 5.100000e+02     1.180001e-22
 5.250000e+02     1.295110e-22
 5.600000e+02     1.466793e-22
 6.000000e+02     1.614273e-22
 6.500000e+02     1.784404e-22
 7.000000e+02     1.970404e-22
 7.500000e+02     2.197867e-22
 8.000000e+02     2.489984e-22
 8.300000e+02     2.704752e-22
 8.600000e+02     2.963928e-22
 8.800000e+02     3.162421e-22
 8.900000e+02     3.270989e-22
 8.960000e+02     3.339188e-22
 9.000000e+02     3.384841e-22
 9.030000e+02     3.421115e-22
 9.060000e+02     3.457749e-22
 9.090000e+02     3.495139e-22
 9.117800e+02     3.529209e-22
 9.300000e+02     8.267235e-22
 9.500000e+02     1.570367e-21
 9.750000e+02     2.826342e-21
 9.900000e+02     3.436840e-21
 1.005000e+03     4.161182e-21
 1.025000e+03     5.389919e-21
 1.045000e+03     6.461841e-21
 1.065000e+03     7.943437e-21
 1.085000e+03     9.420577e-21
 1.105000e+03     1.086167e-20
 1.125000e+03     1.240108e-20
 1.145000e+03     1.375733e-20
 1.165000e+03     1.526959e-20
 1.185000e+03     1.656790e-20
 1.205000e+03     1.785656e-20
 1.215600e+03     1.846298e-20
 1.215670e+03     1.989575e-20
 1.216000e+03     1.990957e-20
 1.218000e+03     1.998615e-20
 1.221000e+03     2.008797e-20
 1.225000e+03     2.022273e-20
 1.230000e+03     2.042323e-20
 1.240000e+03     2.096641e-20
 1.250000e+03     2.155533e-20
 1.265000e+03     2.269987e-20
 1.285000e+03     2.415423e-20
 1.305000e+03     2.556964e-20
 1.325000e+03     2.685553e-20
 1.345000e+03     2.830054e-20
 1.365000e+03     2.968466e-20
 1.385000e+03     3.100980e-20
 1.405000e+03     3.212977e-20
 1.425000e+03     3.329309e-20
 1.442000e+03     3.432055e-20
 1.455000e+03     3.507078e-20
 1.475000e+03     3.608317e-20
 1.517000e+03     3.815666e-20
 1.595000e+03     4.110254e-20
 1.672000e+03     4.371398e-20
 1.745000e+03     4.584146e-20
 1.825000e+03     4.790993e-20
 1.905000e+03     4.935210e-20
 1.984000e+03     5.046421e-20
 2.065000e+03     5.134740e-20
 2.135000e+03     5.176223e-20
 2.215000e+03     5.212823e-20
 2.295000e+03     5.240928e-20
 2.375000e+03     5.266559e-20
 2.455000e+03     5.302214e-20
 2.525000e+03     5.321293e-20
 2.605000e+03     5.361508e-20
 2.685000e+03     5.422271e-20
 2.765000e+03     5.461516e-20
 2.845000e+03     5.477889e-20
 2.950000e+03     5.529021e-20
 3.110000e+03     5.592894e-20
 3.270000e+03     5.635282e-20
 3.430000e+03     5.666992e-20
 3.590000e+03     5.692849e-20
 3.730000e+03     5.757861e-20
 3.890000e+03     6.082749e-20
 4.050000e+03     6.473365e-20
 4.210000e+03     7.002278e-20
 4.370000e+03     7.438718e-20
 4.530000e+03     7.842800e-20
 4.690000e+03     8.211658e-20
 4.850000e+03     8.466869e-20
 5.010000e+03     8.707117e-20
 5.170000e+03     8.910970e-20
 5.330000e+03     9.102502e-20
 5.490000e+03     9.274857e-20
 5.650000e+03     9.439031e-20
 5.810000e+03     9.601646e-20
 5.970000e+03     9.724629e-20
 6.130000e+03     9.849683e-20
 6.290000e+03     9.958464e-20
 6.450000e+03     1.005357e-19
 6.610000e+03     1.013848e-19
 6.770000e+03     1.022792e-19
 6.930000e+03     1.030423e-19
 7.090000e+03     1.036848e-19
 7.250000e+03     1.042650e-19
 7.410000e+03     1.048239e-19
 7.570000e+03     1.054203e-19
 7.730000e+03     1.060768e-19
 7.890000e+03     1.066799e-19
 8.050000e+03     1.072046e-19
 8.210000e+03     1.077401e-19
 8.370000e+03     1.082537e-19
 8.530000e+03     1.087260e-19
 8.690000e+03     1.092280e-19
 8.850000e+03     1.099111e-19
 9.010000e+03     1.105367e-19
 9.170000e+03     1.111298e-19
 9.330000e+03     1.118955e-19
 9.490000e+03     1.126752e-19
 9.650000e+03     1.133023e-19
 9.810000e+03     1.139707e-19
 9.970000e+03     1.146254e-19
 1.050000e+04     1.161695e-19
 1.150000e+04     1.174480e-19
 1.250000e+04     1.179986e-19
 1.350000e+04     1.182154e-19
 1.450000e+04     1.185439e-19
 1.550000e+04     1.196617e-19
 1.650000e+04     1.203544e-19
 1.750000e+04     1.197733e-19
 1.850000e+04     1.178768e-19
 1.950000e+04     1.149163e-19
 2.050000e+04     1.116982e-19
 2.150000e+04     1.082615e-19
 2.250000e+04     1.045287e-19
 2.350000e+04     9.986469e-20
 2.450000e+04     9.471139e-20
 2.550000e+04     9.042317e-20
 2.650000e+04     8.646084e-20
 2.750000e+04     8.331093e-20
 2.850000e+04     8.061062e-20
 2.950000e+04     7.826542e-20
 3.050000e+04     7.620193e-20
 3.150000e+04     7.436709e-20
 3.250000e+04     7.270034e-20
 3.350000e+04     7.117527e-20
 3.450000e+04     6.980017e-20
 3.550000e+04     6.860028e-20
 3.650000e+04     6.756781e-20
 3.750000e+04     6.671636e-20
 3.850000e+04     6.608104e-20
 3.950000e+04     6.584879e-20
 4.050000e+04     6.600601e-20
 4.150000e+04     6.602162e-20
 4.250000e+04     6.579248e-20
 4.350000e+04     6.544447e-20
 4.450000e+04     6.515930e-20
 4.550000e+04     6.507474e-20
 4.650000e+04     6.523299e-20
 4.750000e+04     6.564496e-20
 4.850000e+04     6.632067e-20
 4.950000e+04     6.726460e-20
 5.050000e+04     6.847214e-20
 5.150000e+04     6.993082e-20
 5.250000e+04     7.162898e-20
 5.350000e+04     7.356459e-20
 5.450000e+04     7.575722e-20
 5.550000e+04     7.809318e-20
 5.650000e+04     8.043028e-20
 5.750000e+04     8.315379e-20
 5.850000e+04     8.563327e-20
 5.950000e+04     8.813503e-20
 6.050000e+04     9.209043e-20
 6.150000e+04     9.886621e-20
 6.250000e+04     1.134255e-19
 6.350000e+04     1.242647e-19
 6.450000e+04     1.301958e-19
 6.550000e+04     1.349333e-19
 6.650010e+04     1.390006e-19
 6.750010e+04     1.428508e-19
 6.850010e+04     1.463404e-19
 6.950010e+04     1.507392e-19
 7.020000e+04     1.551712e-19
 7.100000e+04     1.597818e-19
 7.180000e+04     1.644166e-19
 7.260000e+04     1.693613e-19
 7.340000e+04     1.756969e-19
 7.420000e+04     1.844565e-19
 7.500000e+04     1.960519e-19
 7.580000e+04     2.100099e-19
 7.660000e+04     2.253857e-19
 7.740000e+04     2.398793e-19
 7.820000e+04     2.534311e-19
 7.900000e+04     2.655633e-19
 7.980000e+04     2.753653e-19
 8.060000e+04     2.831835e-19
 8.140000e+04     2.893289e-19
 8.220000e+04     2.949079e-19
 8.300000e+04     2.999912e-19
 8.380000e+04     3.048324e-19
 8.460000e+04     3.095836e-19
 8.540000e+04     3.147189e-19
 8.620000e+04     3.200684e-19
 8.700000e+04     3.246808e-19
 8.780000e+04     3.275566e-19
 8.860000e+04     3.288905e-19
 8.940000e+04     3.295776e-19
 9.020000e+04     3.293506e-19
 9.100000e+04     3.285598e-19
 9.180000e+04     3.275416e-19
 9.260000e+04     3.260095e-19
 9.340000e+04     3.239036e-19
 9.420000e+04     3.214656e-19
 9.500000e+04     3.186388e-19
 9.580000e+04     3.155530e-19
 9.660000e+04     3.124749e-19
 9.740000e+04     3.092537e-19
 9.820000e+04     3.054955e-19
 9.900000e+04     3.014033e-19
 9.980000e+04     2.974581e-19
 1.006000e+05     2.937345e-19
 1.020000e+05     2.881878e-19
 1.040000e+05     2.813554e-19
 1.060000e+05     2.763518e-19
 1.080000e+05     2.709825e-19
 1.100000e+05     2.649543e-19
 1.120000e+05     2.666289e-19
 1.140000e+05     2.794291e-19
 1.160000e+05     2.823723e-19
 1.180000e+05     2.832416e-19
 1.200000e+05     2.860406e-19
 1.220000e+05     2.914893e-19
 1.240000e+05     3.006225e-19
 1.260000e+05     3.139314e-19
 1.280000e+05     3.362551e-19
 1.300000e+05     3.577247e-19
 1.320000e+05     3.641604e-19
 1.340000e+05     3.738290e-19
 1.360000e+05     3.818195e-19
 1.380000e+05     3.886095e-19
 1.400000e+05     3.942513e-19
 1.420000e+05     4.002882e-19
 1.440000e+05     4.063385e-19
 1.460000e+05     4.124174e-19
 1.480000e+05     4.190083e-19
 1.500000e+05     4.251837e-19
 1.520000e+05     4.301080e-19
 1.540000e+05     4.334955e-19
 1.560000e+05     4.374798e-19
 1.580000e+05     4.395038e-19
 1.600000e+05     4.390350e-19
 1.620000e+05     4.394483e-19
 1.640000e+05     4.418591e-19
 1.660000e+05     4.474113e-19
 1.680000e+05     4.519143e-19
 1.700000e+05     4.583839e-19
 1.720000e+05     4.666797e-19
 1.740000e+05     4.716975e-19
 1.760000e+05     4.764869e-19
 1.780000e+05     4.796791e-19
 1.800000e+05     4.839003e-19
 1.820000e+05     4.874467e-19
 1.840000e+05     4.919204e-19
 1.860000e+05     4.975092e-19
 1.880000e+05     5.082726e-19
 1.900000e+05     5.164800e-19
 1.920000e+05     5.246288e-19
 1.940000e+05     5.341836e-19
 1.960000e+05     5.444761e-19
 1.980000e+05     5.561700e-19
 2.000000e+05     5.680425e-19
 2.020000e+05     5.812006e-19
 2.040000e+05     5.951148e-19
 2.060000e+05     6.089842e-19
 2.080000e+05     6.228267e-19
 2.100000e+05     6.384204e-19
 2.120000e+05     6.534753e-19
 2.140000e+05     6.687121e-19
 2.160000e+05     6.857026e-19
 2.180000e+05     7.037493e-19
 2.200000e+05     7.206913e-19
 2.220000e+05     7.388086e-19
 2.240000e+05     7.588984e-19
 2.260000e+05     7.786488e-19
 2.280000e+05     7.977288e-19
 2.300000e+05     8.182762e-19
 2.320000e+05     8.402772e-19
 2.340000e+05     8.622537e-19
 2.360000e+05     8.836146e-19
 2.380000e+05     9.060699e-19
 2.400000e+05     9.302333e-19
 2.420000e+05     9.549132e-19
 2.440000e+05     9.793573e-19
 2.460000e+05     1.004908e-18
 2.480000e+05     1.032108e-18
 2.500000e+05     1.059636e-18
 2.520000e+05     1.086480e-18
 2.540000e+05     1.113384e-18
 2.560000e+05     1.141766e-18
 2.580000e+05     1.171927e-18
 2.600000e+05     1.203011e-18
 2.620000e+05     1.233776e-18
 2.640000e+05     1.264651e-18
 2.660000e+05     1.297004e-18
 2.680000e+05     1.331443e-18
 2.700000e+05     1.366397e-18
 2.720000e+05     1.401369e-18
 2.740000e+05     1.436500e-18
 2.760000e+05     1.473070e-18
 2.780000e+05     1.511899e-18
 2.800000e+05     1.552714e-18
 2.820000e+05     1.594853e-18
 2.840000e+05     1.636442e-18
 2.860000e+05     1.677346e-18
 2.880000e+05     1.718659e-18
 2.900000e+05     1.762097e-18
 2.920000e+05     1.806201e-18
 2.940000e+05     1.850853e-18
 2.960000e+05     1.896468e-18
 2.980000e+05     1.942271e-18
 3.000000e+05     1.987172e-18
 3.020000e+05     2.033715e-18
 3.040000e+05     2.081621e-18
 3.060000e+05     2.129486e-18
