## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.944969e-38
 1.122019e-08     4.280491e-38
 1.258925e-08     6.117412e-38
 1.412538e-08     8.565970e-38
 1.584893e-08     1.175898e-37
 1.778279e-08     1.585168e-37
 1.995263e-08     2.102273e-37
 2.238721e-08     2.747641e-37
 2.511887e-08     3.544624e-37
 2.818382e-08     4.519901e-37
 3.162278e-08     5.704050e-37
 3.548135e-08     7.132132e-37
 3.981071e-08     8.844463e-37
 4.466837e-08     1.088751e-36
 5.011870e-08     1.331483e-36
 5.623413e-08     1.618835e-36
 6.309576e-08     1.957961e-36
 7.079456e-08     2.357137e-36
 7.943284e-08     2.825958e-36
 8.912505e-08     3.375518e-36
 1.000000e-07     4.018690e-36
 1.122019e-07     4.770378e-36
 1.258925e-07     5.647845e-36
 1.412538e-07     6.671137e-36
 1.584892e-07     7.863429e-36
 1.778279e-07     9.251656e-36
 1.995263e-07     1.086698e-35
 2.238721e-07     1.274552e-35
 2.511887e-07     1.492918e-35
 2.818382e-07     1.746648e-35
 3.162278e-07     2.041372e-35
 3.548136e-07     2.383608e-35
 3.981071e-07     2.780909e-35
 4.466837e-07     3.242040e-35
 5.011870e-07     3.777141e-35
 5.623413e-07     4.397984e-35
 6.309576e-07     5.118197e-35
 7.079456e-07     5.953565e-35
 7.943284e-07     6.922407e-35
 8.912505e-07     8.045920e-35
 1.000000e-06     9.348705e-35
 1.122019e-06     1.085924e-34
 1.258925e-06     1.261052e-34
 1.412538e-06     1.464082e-34
 1.584893e-06     1.699444e-34
 1.778279e-06     1.972276e-34
 1.995263e-06     2.288534e-34
 2.238721e-06     2.655109e-34
 2.511887e-06     3.079999e-34
 2.818382e-06     3.572460e-34
 3.162278e-06     4.143232e-34
 3.548136e-06     4.804751e-34
 3.981071e-06     5.571417e-34
 4.466837e-06     6.459949e-34
 5.011870e-06     7.489681e-34
 5.623413e-06     8.683055e-34
 6.309576e-06     1.006605e-33
 7.079456e-06     1.166876e-33
 7.943284e-06     1.352611e-33
 8.912505e-06     1.567850e-33
 1.000000e-05     1.817282e-33
 1.122019e-05     2.106335e-33
 1.258925e-05     2.441295e-33
 1.412538e-05     2.829462e-33
 1.584893e-05     3.279274e-33
 1.778279e-05     3.800526e-33
 1.995263e-05     4.404563e-33
 2.238721e-05     5.104522e-33
 2.511887e-05     5.915642e-33
 2.818382e-05     6.855564e-33
 3.162278e-05     7.944754e-33
 3.548135e-05     9.206904e-33
 3.981071e-05     1.066947e-32
 4.466837e-05     1.236429e-32
 5.011870e-05     1.432822e-32
 5.623413e-05     1.660401e-32
 6.309577e-05     1.924117e-32
 7.079457e-05     2.229705e-32
 7.943284e-05     2.583820e-32
 8.912505e-05     2.994159e-32
 1.000000e-04     3.469656e-32
 1.122018e-04     4.020650e-32
 1.258926e-04     4.658150e-32
 1.412538e-04     5.381502e-32
 1.584893e-04     6.214558e-32
 1.778279e-04     7.179781e-32
 1.995262e-04     8.301203e-32
 2.238722e-04     9.606116e-32
 2.511887e-04     1.112626e-31
 2.818383e-04     1.289895e-31
 3.162278e-04     1.496816e-31
 3.548134e-04     1.738582e-31
 3.981073e-04     2.021332e-31
 4.466837e-04     2.352325e-31
 5.011873e-04     2.740161e-31
 5.623413e-04     3.195022e-31
 6.309572e-04     3.728983e-31
 7.079460e-04     4.356372e-31
 7.943284e-04     5.094184e-31
 8.912510e-04     5.962620e-31
 1.000000e-03     6.985681e-31
 1.122018e-03     8.191906e-31
 1.258926e-03     9.615276e-31
 1.412538e-03     1.129619e-30
 1.584893e-03     1.328281e-30
 1.778279e-03     1.563252e-30
 1.995262e-03     1.841372e-30
 2.238722e-03     2.170801e-30
 2.511887e-03     2.561267e-30
 2.818383e-03     3.024391e-30
 3.162278e-03     3.574047e-30
 3.548133e-03     4.226804e-30
 3.981073e-03     5.002469e-30
 4.466837e-03     5.924706e-30
 5.011873e-03     7.021844e-30
 5.623413e-03     8.327833e-30
 6.309573e-03     9.883505e-30
 7.079460e-03     1.173827e-29
 7.943284e-03     1.395240e-29
 8.912510e-03     1.660028e-29
 1.000000e-02     1.977459e-29
 1.122019e-02     2.359166e-29
 1.258925e-02     2.819770e-29
 1.412538e-02     3.377607e-29
 1.584894e-02     4.055412e-29
 1.778279e-02     4.881069e-29
 1.995263e-02     5.888338e-29
 2.238721e-02     7.117497e-29
 2.511887e-02     8.616152e-29
 2.818385e-02     1.044003e-28
 3.162277e-02     1.265399e-28
 3.548136e-02     1.533349e-28
 3.981071e-02     1.856603e-28
 4.466837e-02     2.245362e-28
 5.011876e-02     2.711529e-28
 5.623413e-02     3.269050e-28
 6.309576e-02     3.934359e-28
 7.079456e-02     4.726836e-28
 7.943284e-02     5.669462e-28
 8.912515e-02     6.789497e-28
 1.000000e-01     8.119356e-28
 1.122019e-01     9.699045e-28
 1.258925e-01     1.152277e-27
 1.412538e-01     1.353304e-27
 1.584894e-01     1.569579e-27
 1.778279e-01     1.798749e-27
 1.995263e-01     2.038966e-27
 2.238721e-01     2.288643e-27
 2.511887e-01     2.546408e-27
 2.818385e-01     2.811074e-27
 3.162278e-01     3.081641e-27
 3.548135e-01     3.357317e-27
 3.981071e-01     3.637486e-27
 4.466837e-01     3.921724e-27
 5.011876e-01     4.209762e-27
 5.623413e-01     4.501478e-27
 6.309576e-01     4.796728e-27
 7.079456e-01     5.095771e-27
 7.943284e-01     5.398789e-27
 8.912515e-01     5.706009e-27
 1.000000e+00     6.017701e-27
 1.122019e+00     6.334157e-27
 1.258925e+00     6.655637e-27
 1.412538e+00     6.982357e-27
 1.584894e+00     7.314414e-27
 1.778279e+00     7.651731e-27
 1.995263e+00     7.993971e-27
 2.238721e+00     8.340368e-27
 2.511887e+00     8.689548e-27
 2.818385e+00     9.039210e-27
 3.162278e+00     9.385708e-27
 3.548136e+00     9.723461e-27
 3.981071e+00     1.004413e-26
 4.466837e+00     1.033568e-26
