## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     3.433803e-38
 1.122019e-08     4.990876e-38
 1.258925e-08     7.133167e-38
 1.412538e-08     9.989636e-38
 1.584893e-08     1.371547e-37
 1.778279e-08     1.849198e-37
 1.995263e-08     2.452789e-37
 2.238721e-08     3.206184e-37
 2.511887e-08     4.136670e-37
 2.818382e-08     5.275416e-37
 3.162278e-08     6.658151e-37
 3.548135e-08     8.325840e-37
 3.981071e-08     1.032558e-36
 4.466837e-08     1.271167e-36
 5.011870e-08     1.554668e-36
 5.623413e-08     1.890295e-36
 6.309576e-08     2.286406e-36
 7.079456e-08     2.752671e-36
 7.943284e-08     3.300298e-36
 8.912505e-08     3.942248e-36
 1.000000e-07     4.693561e-36
 1.122019e-07     5.571648e-36
 1.258925e-07     6.596676e-36
 1.412538e-07     7.792064e-36
 1.584892e-07     9.184888e-36
 1.778279e-07     1.080661e-35
 1.995263e-07     1.269364e-35
 2.238721e-07     1.488818e-35
 2.511887e-07     1.743917e-35
 2.818382e-07     2.040330e-35
 3.162278e-07     2.384635e-35
 3.548136e-07     2.784446e-35
 3.981071e-07     3.248586e-35
 4.466837e-07     3.787296e-35
 5.011870e-07     4.412422e-35
 5.623413e-07     5.137716e-35
 6.309576e-07     5.979100e-35
 7.079456e-07     6.955013e-35
 7.943284e-07     8.086860e-35
 8.912505e-07     9.399400e-35
 1.000000e-06     1.092138e-34
 1.122019e-06     1.268606e-34
 1.258925e-06     1.473199e-34
 1.412538e-06     1.710389e-34
 1.584893e-06     1.985351e-34
 1.778279e-06     2.304088e-34
 1.995263e-06     2.673556e-34
 2.238721e-06     3.101808e-34
 2.511887e-06     3.598187e-34
 2.818382e-06     4.173507e-34
 3.162278e-06     4.840314e-34
 3.548136e-06     5.613136e-34
 3.981071e-06     6.508797e-34
 4.466837e-06     7.546828e-34
 5.011870e-06     8.749817e-34
 5.623413e-06     1.014398e-33
 6.309576e-06     1.175967e-33
 7.079456e-06     1.363205e-33
 7.943284e-06     1.580191e-33
 8.912505e-06     1.831645e-33
 1.000000e-05     2.123045e-33
 1.122019e-05     2.460733e-33
 1.258925e-05     2.852052e-33
 1.412538e-05     3.305530e-33
 1.584893e-05     3.831025e-33
 1.778279e-05     4.439981e-33
 1.995263e-05     5.145651e-33
 2.238721e-05     5.963382e-33
 2.511887e-05     6.910978e-33
 2.818382e-05     8.009047e-33
 3.162278e-05     9.281500e-33
 3.548135e-05     1.075601e-32
 3.981071e-05     1.246466e-32
 4.466837e-05     1.444465e-32
