## EBL from Khaire & Srianand 2018; Q18 Model with alpha=-1.8 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.447267e-37
 1.122019e-08     2.111170e-37
 1.258925e-08     3.066440e-37
 1.412538e-08     4.418425e-37
 1.584893e-08     6.297152e-37
 1.778279e-08     8.858767e-37
 1.995263e-08     1.228660e-36
 2.238721e-08     1.679263e-36
 2.511887e-08     2.262012e-36
 2.818382e-08     3.004696e-36
 3.162278e-08     3.939083e-36
 3.548135e-08     5.101464e-36
 3.981071e-08     6.533375e-36
 4.466837e-08     8.282438e-36
 5.011870e-08     1.040324e-35
 5.623413e-08     1.295857e-35
 6.309576e-08     1.602063e-35
 7.079456e-08     1.967255e-35
 7.943284e-08     2.401037e-35
 8.912505e-08     2.914484e-35
 1.000000e-07     3.520415e-35
 1.122019e-07     4.233646e-35
 1.258925e-07     5.071318e-35
 1.412538e-07     6.053313e-35
 1.584892e-07     7.202613e-35
 1.778279e-07     8.545910e-35
 1.995263e-07     1.011407e-34
 2.238721e-07     1.194289e-34
 2.511887e-07     1.407387e-34
 2.818382e-07     1.655509e-34
 3.162278e-07     1.944230e-34
 3.548136e-07     2.280010e-34
 3.981071e-07     2.670332e-34
 4.466837e-07     3.123879e-34
 5.011870e-07     3.650701e-34
 5.623413e-07     4.262463e-34
 6.309576e-07     4.972670e-34
 7.079456e-07     5.796967e-34
 7.943284e-07     6.753513e-34
 8.912505e-07     7.863314e-34
 1.000000e-06     9.150761e-34
 1.122019e-06     1.064407e-33
 1.258925e-06     1.237595e-33
 1.412538e-06     1.438437e-33
 1.584893e-06     1.671321e-33
 1.778279e-06     1.941342e-33
 1.995263e-06     2.254404e-33
 2.238721e-06     2.617337e-33
 2.511887e-06     3.038072e-33
 2.818382e-06     3.525786e-33
 3.162278e-06     4.091125e-33
 3.548136e-06     4.746417e-33
 3.981071e-06     5.505940e-33
 4.466837e-06     6.386267e-33
 5.011870e-06     7.406565e-33
 5.623413e-06     8.589087e-33
 6.309576e-06     9.959593e-33
 7.079456e-06     1.154791e-32
 7.943284e-06     1.338867e-32
 8.912505e-06     1.552191e-32
 1.000000e-05     1.799414e-32
 1.122019e-05     2.085915e-32
 1.258925e-05     2.417930e-32
 1.412538e-05     2.802692e-32
 1.584893e-05     3.248570e-32
 1.778279e-05     3.765274e-32
 1.995263e-05     4.364051e-32
 2.238721e-05     5.057926e-32
 2.511887e-05     5.862010e-32
 2.818382e-05     6.793790e-32
 3.162278e-05     7.873557e-32
 3.548135e-05     9.124798e-32
 3.981071e-05     1.057473e-31
 4.466837e-05     1.225494e-31
 5.011870e-05     1.420194e-31
 5.623413e-05     1.645814e-31
 6.309577e-05     1.907262e-31
 7.079457e-05     2.210223e-31
 7.943284e-05     2.561294e-31
 8.912505e-05     2.968108e-31
 1.000000e-04     3.439523e-31
 1.122018e-04     3.985789e-31
 1.258926e-04     4.618769e-31
 1.412538e-04     5.350342e-31
 1.584893e-04     6.194914e-31
 1.778279e-04     7.169565e-31
 1.995262e-04     8.294517e-31
 2.238722e-04     9.594006e-31
 2.511887e-04     1.109713e-30
 2.818383e-04     1.283871e-30
 3.162278e-04     1.486017e-30
 3.548134e-04     1.721046e-30
 3.981073e-04     1.994723e-30
 4.466837e-04     2.313836e-30
 5.011873e-04     2.686378e-30
 5.623413e-04     3.121776e-30
 6.309572e-04     3.631161e-30
 7.079460e-04     4.227699e-30
 7.943284e-04     4.926961e-30
 8.912510e-04     5.747405e-30
 1.000000e-03     6.710917e-30
 1.122018e-03     7.843458e-30
 1.258926e-03     9.175876e-30
 1.412538e-03     1.074477e-29
 1.584893e-03     1.259370e-29
 1.778279e-03     1.477447e-29
 1.995262e-03     1.734871e-29
 2.238722e-03     2.038981e-29
 2.511887e-03     2.398518e-29
 2.818383e-03     2.823902e-29
 3.162278e-03     3.327559e-29
 3.548133e-03     3.924305e-29
 3.981073e-03     4.631834e-29
 4.466837e-03     5.471248e-29
 5.011873e-03     6.467768e-29
 5.623413e-03     7.651532e-29
 6.309573e-03     9.058602e-29
 7.079460e-03     1.073219e-28
 7.943284e-03     1.272421e-28
 8.912510e-03     1.509737e-28
 1.000000e-02     1.792785e-28
 1.122019e-02     2.130882e-28
 1.258925e-02     2.535490e-28
 1.412538e-02     3.020827e-28
 1.584894e-02     3.604527e-28
 1.778279e-02     4.308498e-28
 1.995263e-02     5.159880e-28
 2.238721e-02     6.192039e-28
 2.511887e-02     7.445764e-28
 2.818385e-02     8.970421e-28
 3.162277e-02     1.082525e-27
 3.548136e-02     1.308089e-27
 3.981071e-02     1.582074e-27
 4.466837e-02     1.914308e-27
 5.011876e-02     2.316297e-27
 5.623413e-02     2.801501e-27
 6.309576e-02     3.385675e-27
 7.079456e-02     4.087230e-27
 7.943284e-02     4.927784e-27
 8.912515e-02     5.932717e-27
 1.000000e-01     7.131932e-27
 1.122019e-01     8.560846e-27
 1.258925e-01     1.025712e-26
 1.412538e-01     1.225002e-26
 1.584894e-01     1.456098e-26
 1.778279e-01     1.720086e-26
 1.995263e-01     2.016826e-26
 2.238721e-01     2.344983e-26
 2.511887e-01     2.702279e-26
 2.818385e-01     3.085826e-26
 3.162278e-01     3.492485e-26
 3.548135e-01     3.919172e-26
 3.981071e-01     4.363031e-26
 4.466837e-01     4.821561e-26
 5.011876e-01     5.292643e-26
 5.623413e-01     5.774544e-26
 6.309576e-01     6.265917e-26
 7.079456e-01     6.765740e-26
 7.943284e-01     7.273320e-26
 8.912515e-01     7.788233e-26
 1.000000e+00     8.310298e-26
 1.122019e+00     8.839561e-26
 1.258925e+00     9.376221e-26
 1.412538e+00     9.920659e-26
 1.584894e+00     1.047336e-25
 1.778279e+00     1.103492e-25
 1.995263e+00     1.160602e-25
 2.238721e+00     1.218739e-25
 2.511887e+00     1.277985e-25
 2.818385e+00     1.338425e-25
 3.162278e+00     1.400150e-25
 3.548136e+00     1.463260e-25
 3.981071e+00     1.527864e-25
 4.466837e+00     1.594088e-25
 5.011876e+00     1.662073e-25
 5.623413e+00     1.731989e-25
 6.309576e+00     1.804011e-25
 7.079456e+00     1.877443e-25
 7.943284e+00     1.952989e-25
 8.912516e+00     2.032409e-25
 1.000000e+01     2.118686e-25
 1.122019e+01     2.216234e-25
 1.258925e+01     2.330893e-25
 1.412538e+01     2.469796e-25
 1.584894e+01     2.641201e-25
 1.778279e+01     2.854423e-25
 1.995263e+01     3.119877e-25
 2.238721e+01     3.449145e-25
 2.511887e+01     3.855036e-25
 2.818385e+01     4.351413e-25
 3.162278e+01     4.952720e-25
 3.548135e+01     5.673057e-25
 3.981071e+01     6.524676e-25
 4.466837e+01     7.516118e-25
 5.011876e+01     8.650346e-25
 5.623413e+01     9.924391e-25
 6.309576e+01     1.133116e-24
 7.079456e+01     1.281623e-24
 7.943284e+01     1.444308e-24
 8.912515e+01     1.629580e-24
 1.000000e+02     1.843481e-24
 1.120000e+02     2.085789e-24
 1.250000e+02     2.355239e-24
 1.400000e+02     2.672884e-24
 1.550000e+02     2.991106e-24
 1.650000e+02     3.202090e-24
 1.750000e+02     3.408207e-24
 1.850000e+02     3.607976e-24
 1.900000e+02     3.706253e-24
 1.950000e+02     3.804064e-24
 2.000000e+02     3.901829e-24
 2.050000e+02     4.002487e-24
 2.100000e+02     4.112534e-24
 2.150000e+02     4.246556e-24
 2.180000e+02     4.348174e-24
 2.210000e+02     4.479425e-24
 2.240000e+02     4.650826e-24
 2.260000e+02     4.805121e-24
 2.270000e+02     4.893648e-24
 2.275000e+02     4.941336e-24
 2.278400e+02     4.977046e-24
 2.380000e+02     5.637430e-24
 2.500000e+02     6.467260e-24
 2.700000e+02     7.947733e-24
 2.900000e+02     9.683793e-24
 3.035000e+02     1.084116e-23
 3.037800e+02     1.283457e-23
 3.045000e+02     1.291000e-23
 3.060000e+02     1.307183e-23
 3.080000e+02     1.328636e-23
 3.100000e+02     1.349932e-23
 3.120000e+02     1.370882e-23
 3.150000e+02     1.402271e-23
 3.200000e+02     1.454968e-23
 3.250000e+02     1.509406e-23
 3.300000e+02     1.570919e-23
 3.400000e+02     1.677843e-23
 3.600000e+02     1.901036e-23
 3.800000e+02     2.137727e-23
 4.050000e+02     2.428814e-23
 4.250000e+02     2.648033e-23
 4.500000e+02     2.921240e-23
 4.650000e+02     3.097149e-23
 4.750000e+02     3.207963e-23
 4.820000e+02     3.285619e-23
 4.870000e+02     3.340785e-23
 4.910000e+02     3.384734e-23
 4.950000e+02     3.428766e-23
 4.980000e+02     3.463433e-23
 5.000000e+02     3.487664e-23
 5.020000e+02     3.511584e-23
 5.039800e+02     3.535296e-23
 5.100000e+02     3.608489e-23
 5.250000e+02     3.770895e-23
 5.600000e+02     4.159717e-23
 6.000000e+02     4.602449e-23
 6.500000e+02     5.181315e-23
 7.000000e+02     5.768924e-23
