## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     3.121555e-41
 1.122019e-08     4.538922e-41
 1.258925e-08     6.470292e-41
 1.412538e-08     9.026178e-41
 1.584893e-08     1.234226e-40
 1.778279e-08     1.657642e-40
 1.995263e-08     2.190939e-40
 2.238721e-08     2.854732e-40
 2.511887e-08     3.672568e-40
 2.818382e-08     4.671349e-40
 3.162278e-08     5.881924e-40
 3.548135e-08     7.339679e-40
 3.981071e-08     9.085322e-40
 4.466837e-08     1.116580e-39
 5.011870e-08     1.363522e-39
 5.623413e-08     1.655619e-39
 6.309576e-08     2.000104e-39
 7.079456e-08     2.405346e-39
 7.943284e-08     2.881048e-39
 8.912505e-08     3.438432e-39
 1.000000e-07     4.090519e-39
 1.122019e-07     4.852385e-39
 1.258925e-07     5.741495e-39
 1.412538e-07     6.778122e-39
 1.584892e-07     7.985716e-39
 1.778279e-07     9.391522e-39
 1.995263e-07     1.102706e-38
 2.238721e-07     1.292888e-38
 2.511887e-07     1.513936e-38
 2.818382e-07     1.770759e-38
 3.162278e-07     2.069052e-38
 3.548136e-07     2.415407e-38
 3.981071e-07     2.817467e-38
 4.466837e-07     3.284096e-38
 5.011870e-07     3.825554e-38
 5.623413e-07     4.453748e-38
 6.309576e-07     5.182461e-38
 7.079456e-07     6.027664e-38
 7.943284e-07     7.007888e-38
 8.912505e-07     8.144573e-38
 1.000000e-06     9.462607e-38
 1.122019e-06     1.099079e-37
 1.258925e-06     1.276250e-37
 1.412538e-06     1.481647e-37
 1.584893e-06     1.719749e-37
 1.778279e-06     1.995756e-37
 1.995263e-06     2.315689e-37
 2.238721e-06     2.686521e-37
 2.511887e-06     3.116341e-37
 2.818382e-06     3.614515e-37
 3.162278e-06     4.191905e-37
 3.548136e-06     4.861090e-37
 3.981071e-06     5.636638e-37
 4.466837e-06     6.535458e-37
 5.011870e-06     7.577108e-37
 5.623413e-06     8.784293e-37
 6.309576e-06     1.018329e-36
 7.079456e-06     1.180454e-36
 7.943284e-06     1.368337e-36
 8.912505e-06     1.586064e-36
 1.000000e-05     1.838380e-36
 1.122019e-05     2.130773e-36
 1.258925e-05     2.469605e-36
 1.412538e-05     2.862257e-36
 1.584893e-05     3.317267e-36
 1.778279e-05     3.844541e-36
 1.995263e-05     4.455557e-36
 2.238721e-05     5.163601e-36
 2.511887e-05     5.984092e-36
 2.818382e-05     6.934871e-36
 3.162278e-05     8.036642e-36
 3.548135e-05     9.313369e-36
 3.981071e-05     1.079282e-35
 4.466837e-05     1.250722e-35
 5.011870e-05     1.449382e-35
 5.623413e-05     1.679590e-35
 6.309577e-05     1.946352e-35
 7.079457e-05     2.255470e-35
 7.943284e-05     2.613673e-35
 8.912505e-05     3.028749e-35
 1.000000e-04     3.509738e-35
 1.122018e-04     4.067094e-35
 1.258926e-04     4.711926e-35
 1.412538e-04     5.440622e-35
 1.584893e-04     6.281601e-35
 1.778279e-04     7.257581e-35
 1.995262e-04     8.392431e-35
 2.238722e-04     9.713533e-35
 2.511887e-04     1.125297e-34
 2.818383e-04     1.304858e-34
 3.162278e-04     1.514500e-34
 3.548134e-04     1.759499e-34
 3.981073e-04     2.046093e-34
 4.466837e-04     2.381657e-34
 5.011873e-04     2.774931e-34
 5.623413e-04     3.236267e-34
 6.309572e-04     3.777942e-34
 7.079460e-04     4.414523e-34
