## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     9.388767e-37
 1.122019e-08     1.367305e-36
 1.258925e-08     1.971507e-36
 1.412538e-08     2.799731e-36
 1.584893e-08     3.907571e-36
 1.778279e-08     5.358950e-36
 1.995263e-08     7.227199e-36
 2.238721e-08     9.596281e-36
 2.511887e-08     1.256237e-35
 2.818382e-08     1.623541e-35
 3.162278e-08     2.074138e-35
 3.548135e-08     2.622452e-35
 3.981071e-08     3.285038e-35
 4.466837e-08     4.080936e-35
 5.011870e-08     5.032043e-35
 5.623413e-08     6.163640e-35
 6.309576e-08     7.504886e-35
 7.079456e-08     9.089472e-35
 7.943284e-08     1.095642e-34
 8.912505e-08     1.315081e-34
 1.000000e-07     1.572495e-34
 1.122019e-07     1.873935e-34
 1.258925e-07     2.226409e-34
 1.412538e-07     2.638055e-34
 1.584892e-07     3.118278e-34
 1.778279e-07     3.678008e-34
 1.995263e-07     4.329894e-34
 2.238721e-07     5.088593e-34
 2.511887e-07     5.971114e-34
 2.818382e-07     6.997146e-34
 3.162278e-07     8.189538e-34
 3.548136e-07     9.574748e-34
 3.981071e-07     1.118343e-33
 4.466837e-07     1.305116e-33
 5.011870e-07     1.521909e-33
 5.623413e-07     1.773502e-33
 6.309576e-07     2.065424e-33
 7.079456e-07     2.404084e-33
 7.943284e-07     2.796920e-33
 8.912505e-07     3.252533e-33
 1.000000e-06     3.780912e-33
 1.122019e-06     4.393615e-33
 1.258925e-06     5.104034e-33
 1.412538e-06     5.927715e-33
 1.584893e-06     6.882634e-33
 1.778279e-06     7.989653e-33
 1.995263e-06     9.272940e-33
 2.238721e-06     1.076048e-32
 2.511887e-06     1.248473e-32
 2.818382e-06     1.448327e-32
 3.162278e-06     1.679971e-32
 3.548136e-06     1.948453e-32
 3.981071e-06     2.259619e-32
 4.466837e-06     2.620253e-32
 5.011870e-06     3.038206e-32
 5.623413e-06     3.522590e-32
 6.309576e-06     4.083949e-32
 7.079456e-06     4.734501e-32
 7.943284e-06     5.488425e-32
 8.912505e-06     6.362117e-32
 1.000000e-05     7.374617e-32
 1.122019e-05     8.547956e-32
 1.258925e-05     9.907660e-32
 1.412538e-05     1.148336e-31
 1.584893e-05     1.330930e-31
 1.778279e-05     1.542527e-31
 1.995263e-05     1.787729e-31
 2.238721e-05     2.071871e-31
 2.511887e-05     2.401141e-31
 2.818382e-05     2.782698e-31
 3.162278e-05     3.224852e-31
 3.548135e-05     3.737219e-31
 3.981071e-05     4.330946e-31
 4.466837e-05     5.018959e-31
 5.011870e-05     5.816216e-31
 5.623413e-05     6.740080e-31
 6.309577e-05     7.810647e-31
 7.079457e-05     9.051194e-31
 7.943284e-05     1.048873e-30
 8.912505e-05     1.215452e-30
 1.000000e-04     1.408483e-30
 1.122018e-04     1.632162e-30
 1.258926e-04     1.891276e-30
 1.412538e-04     2.188486e-30
 1.584893e-04     2.530151e-30
 1.778279e-04     2.924251e-30
 1.995262e-04     3.380223e-30
 2.238722e-04     3.909104e-30
 2.511887e-04     4.523760e-30
 2.818383e-04     5.239226e-30
 3.162278e-04     6.073124e-30
