## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.193958e-38
 1.122019e-08     1.736604e-38
 1.258925e-08     2.481221e-38
 1.412538e-08     3.471720e-38
 1.584893e-08     4.761567e-38
 1.778279e-08     6.413203e-38
 1.995263e-08     8.498369e-38
 2.238721e-08     1.109902e-37
 2.511887e-08     1.430881e-37
 2.818382e-08     1.823473e-37
 3.162278e-08     2.299940e-37
 3.548135e-08     2.874349e-37
 3.981071e-08     3.562869e-37
 4.466837e-08     4.384145e-37
 5.011870e-08     5.359659e-37
 5.623413e-08     6.514265e-37
 6.309576e-08     7.876670e-37
 7.079456e-08     9.480084e-37
 7.943284e-08     1.136301e-36
 8.912505e-08     1.356997e-36
 1.000000e-07     1.615263e-36
 1.122019e-07     1.917080e-36
 1.258925e-07     2.269377e-36
 1.412538e-07     2.680197e-36
 1.584892e-07     3.158842e-36
 1.778279e-07     3.716122e-36
 1.995263e-07     4.364544e-36
 2.238721e-07     5.118602e-36
 2.511887e-07     5.995115e-36
 2.818382e-07     7.013554e-36
 3.162278e-07     8.196513e-36
 3.548136e-07     9.570153e-36
 3.981071e-07     1.116478e-35
 4.466837e-07     1.301559e-35
 5.011870e-07     1.516325e-35
 5.623413e-07     1.765502e-35
 6.309576e-07     2.054558e-35
 7.079456e-07     2.389829e-35
 7.943284e-07     2.778668e-35
 8.912505e-07     3.229579e-35
 1.000000e-06     3.752439e-35
 1.122019e-06     4.358674e-35
 1.258925e-06     5.061522e-35
 1.412538e-06     5.876354e-35
 1.584893e-06     6.820941e-35
 1.778279e-06     7.915906e-35
 1.995263e-06     9.185146e-35
 2.238721e-06     1.065632e-34
 2.511887e-06     1.236153e-34
 2.818382e-06     1.433791e-34
 3.162278e-06     1.662860e-34
 3.548136e-06     1.928346e-34
 3.981071e-06     2.236030e-34
 4.466837e-06     2.592622e-34
 5.011870e-06     3.005880e-34
 5.623413e-06     3.484813e-34
 6.309576e-06     4.039845e-34
 7.079456e-06     4.683055e-34
 7.943284e-06     5.428458e-34
 8.912505e-06     6.292265e-34
 1.000000e-05     7.293298e-34
 1.122019e-05     8.453339e-34
 1.258925e-05     9.797618e-34
 1.412538e-05     1.135543e-33
 1.584893e-05     1.316063e-33
 1.778279e-05     1.525254e-33
 1.995263e-05     1.767670e-33
 2.238721e-05     2.048580e-33
 2.511887e-05     2.374103e-33
 2.818382e-05     2.751316e-33
 3.162278e-05     3.188435e-33
 3.548135e-05     3.694966e-33
 3.981071e-05     4.281928e-33
 4.466837e-05     4.962100e-33
 5.011870e-05     5.750270e-33
 5.623413e-05     6.663602e-33
 6.309577e-05     7.721962e-33
 7.079457e-05     8.948362e-33
 7.943284e-05     1.036951e-32
 8.912505e-05     1.201630e-32
 1.000000e-04     1.392458e-32
 1.122018e-04     1.613585e-32
 1.258926e-04     1.869503e-32
 1.412538e-04     2.159552e-32
 1.584893e-04     2.493649e-32
 1.778279e-04     2.880919e-32
 1.995262e-04     3.330978e-32
 2.238722e-04     3.854748e-32
 2.511887e-04     4.464958e-32
 2.818383e-04     5.176582e-32
 3.162278e-04     6.007286e-32
 3.548134e-04     6.977927e-32
 3.981073e-04     8.113168e-32
 4.466837e-04     9.442173e-32
 5.011873e-04     1.099948e-31
 5.623413e-04     1.282602e-31
 6.309572e-04     1.497029e-31
 7.079460e-04     1.748986e-31
 7.943284e-04     2.045303e-31
 8.912510e-04     2.394097e-31
 1.000000e-03     2.805011e-31
 1.122018e-03     3.289515e-31
 1.258926e-03     3.861264e-31
 1.412538e-03     4.536496e-31
 1.584893e-03     5.334561e-31
 1.778279e-03     6.278525e-31
 1.995262e-03     7.395879e-31
 2.238722e-03     8.719412e-31
 2.511887e-03     1.028823e-30
 2.818383e-03     1.214905e-30
 3.162278e-03     1.435762e-30
 3.548133e-03     1.698054e-30
 3.981073e-03     2.009743e-30
 4.466837e-03     2.380340e-30
 5.011873e-03     2.821230e-30
 5.623413e-03     3.346051e-30
 6.309573e-03     3.971187e-30
 7.079460e-03     4.716420e-30
 7.943284e-03     5.605787e-30
 8.912510e-03     6.668772e-30
 1.000000e-02     7.941836e-30
 1.122019e-02     9.470339e-30
 1.258925e-02     1.131078e-29
 1.412538e-02     1.353343e-29
 1.584894e-02     1.622488e-29
 1.778279e-02     1.949086e-29
 1.995263e-02     2.345911e-29
 2.238721e-02     2.828204e-29
 2.511887e-02     3.414013e-29
 2.818385e-02     4.124539e-29
 3.162277e-02     4.984580e-29
 3.548136e-02     6.023138e-29
 3.981071e-02     7.274043e-29
 4.466837e-02     8.776957e-29
 5.011876e-02     1.057840e-28
 5.623413e-02     1.273312e-28
 6.309576e-02     1.530590e-28
 7.079456e-02     1.837335e-28
 7.943284e-02     2.202656e-28
 8.912515e-02     2.637377e-28
 1.000000e-01     3.154391e-28
 1.122019e-01     3.769550e-28
 1.258925e-01     4.480614e-28
 1.412538e-01     5.262234e-28
 1.584894e-01     6.100512e-28
 1.778279e-01     6.986310e-28
 1.995263e-01     7.912350e-28
 2.238721e-01     8.872236e-28
 2.511887e-01     9.860312e-28
 2.818385e-01     1.087160e-27
 3.162278e-01     1.190185e-27
 3.548135e-01     1.294757e-27
 3.981071e-01     1.400594e-27
 4.466837e-01     1.507485e-27
 5.011876e-01     1.615278e-27
 5.623413e-01     1.723871e-27
 6.309576e-01     1.833098e-27
 7.079456e-01     1.943054e-27
 7.943284e-01     2.053719e-27
 8.912515e-01     2.165089e-27
 1.000000e+00     2.277165e-27
 1.122019e+00     2.389940e-27
 1.258925e+00     2.503372e-27
 1.412538e+00     2.617375e-27
 1.584894e+00     2.731774e-27
 1.778279e+00     2.846271e-27
 1.995263e+00     2.960389e-27
 2.238721e+00     3.073379e-27
 2.511887e+00     3.184107e-27
 2.818385e+00     3.290875e-27
 3.162278e+00     3.391196e-27
 3.548136e+00     3.481486e-27
 3.981071e+00     3.556699e-27
 4.466837e+00     3.609962e-27
 5.011876e+00     3.632342e-27
 5.623413e+00     3.613015e-27
 6.309576e+00     3.518419e-27
 7.079456e+00     3.350121e-27
 7.943284e+00     3.118914e-27
 8.912516e+00     2.828755e-27
 1.000000e+01     2.486005e-27
 1.122019e+01     2.131327e-27
 1.258925e+01     1.777129e-27
 1.412538e+01     1.478433e-27
 1.584894e+01     1.221643e-27
 1.778279e+01     1.006422e-27
 1.995263e+01     8.299139e-28
 2.238721e+01     6.866368e-28
 2.511887e+01     5.711942e-28
 2.818385e+01     4.782641e-28
 3.162278e+01     4.031478e-28
 3.548135e+01     3.423533e-28
 3.981071e+01     2.926406e-28
 4.466837e+01     2.518613e-28
 5.011876e+01     2.180455e-28
 5.623413e+01     1.899770e-28
 6.309576e+01     1.664502e-28
 7.079456e+01     1.467928e-28
 7.943284e+01     1.302065e-28
 8.912515e+01     1.162652e-28
 1.000000e+02     1.045016e-28
 1.120000e+02     9.476838e-29
 1.250000e+02     8.681406e-29
 1.400000e+02     8.000623e-29
 1.550000e+02     7.492705e-29
 1.650000e+02     7.227161e-29
 1.750000e+02     7.011867e-29
 1.850000e+02     6.850655e-29
 1.900000e+02     6.815886e-29
 1.950000e+02     6.852848e-29
 2.000000e+02     7.043259e-29
 2.050000e+02     7.563505e-29
 2.100000e+02     8.758074e-29
 2.150000e+02     1.131357e-28
 2.180000e+02     1.399858e-28
 2.210000e+02     1.805660e-28
 2.240000e+02     2.411146e-28
 2.260000e+02     2.967735e-28
 2.270000e+02     3.303988e-28
 2.275000e+02     3.488696e-28
 2.278400e+02     3.621069e-28
 2.380000e+02     9.658543e-24
 2.500000e+02     2.118361e-23
 2.700000e+02     2.474612e-23
 2.900000e+02     2.693289e-23
 3.035000e+02     2.829334e-23
 3.037800e+02     2.909958e-23
 3.045000e+02     2.907159e-23
 3.060000e+02     2.906505e-23
 3.080000e+02     2.910407e-23
 3.100000e+02     2.919232e-23
 3.120000e+02     2.931207e-23
 3.150000e+02     2.953719e-23
 3.200000e+02     2.996040e-23
 3.250000e+02     3.042807e-23
 3.300000e+02     3.091374e-23
 3.400000e+02     3.187887e-23
 3.600000e+02     3.380194e-23
 3.800000e+02     3.569483e-23
 4.050000e+02     3.801822e-23
 4.250000e+02     3.984386e-23
 4.500000e+02     4.208312e-23
 4.650000e+02     4.341952e-23
 4.750000e+02     4.430291e-23
 4.820000e+02     4.491575e-23
 4.870000e+02     4.535062e-23
 4.910000e+02     4.569590e-23
 4.950000e+02     4.604722e-23
 4.980000e+02     4.629896e-23
 5.000000e+02     4.647033e-23
 5.020000e+02     4.664947e-23
 5.039800e+02     4.682111e-23
 5.100000e+02     5.348231e-23
 5.250000e+02     6.015129e-23
 5.600000e+02     6.530489e-23
 6.000000e+02     6.950947e-23
 6.500000e+02     7.517230e-23
 7.000000e+02     8.214417e-23
 7.500000e+02     9.147157e-23
 8.000000e+02     1.042677e-22
 8.300000e+02     1.141940e-22
 8.600000e+02     1.262447e-22
 8.800000e+02     1.355885e-22
 8.900000e+02     1.407116e-22
 8.960000e+02     1.439133e-22
 9.000000e+02     1.461217e-22
 9.030000e+02     1.478009e-22
 9.060000e+02     1.495140e-22
 9.090000e+02     1.512532e-22
 9.117800e+02     1.529040e-22
 9.300000e+02     7.248018e-22
 9.500000e+02     2.013353e-21
 9.750000e+02     3.643834e-21
 9.900000e+02     4.611851e-21
 1.005000e+03     5.530902e-21
 1.025000e+03     7.193350e-21
 1.045000e+03     8.478507e-21
 1.065000e+03     1.039558e-20
 1.085000e+03     1.208672e-20
 1.105000e+03     1.381268e-20
 1.125000e+03     1.550080e-20
 1.145000e+03     1.704762e-20
 1.165000e+03     1.864489e-20
 1.185000e+03     2.007519e-20
 1.205000e+03     2.143825e-20
 1.215600e+03     2.197499e-20
 1.215670e+03     2.449094e-20
 1.216000e+03     2.450410e-20
 1.218000e+03     2.458392e-20
 1.221000e+03     2.470290e-20
 1.225000e+03     2.481148e-20
 1.230000e+03     2.495231e-20
 1.240000e+03     2.552907e-20
 1.250000e+03     2.619293e-20
 1.265000e+03     2.712270e-20
 1.285000e+03     2.842660e-20
 1.305000e+03     2.996225e-20
 1.325000e+03     3.116610e-20
 1.345000e+03     3.249768e-20
 1.365000e+03     3.369625e-20
 1.385000e+03     3.484477e-20
 1.405000e+03     3.592709e-20
 1.425000e+03     3.682502e-20
 1.442000e+03     3.750851e-20
 1.455000e+03     3.810299e-20
 1.475000e+03     3.921689e-20
 1.517000e+03     4.087448e-20
 1.595000e+03     4.296151e-20
 1.672000e+03     4.476563e-20
 1.745000e+03     4.621451e-20
 1.825000e+03     4.769310e-20
 1.905000e+03     4.848150e-20
 1.984000e+03     4.905466e-20
 2.065000e+03     4.940246e-20
 2.135000e+03     4.944791e-20
 2.215000e+03     4.938725e-20
 2.295000e+03     4.926243e-20
 2.375000e+03     4.899330e-20
 2.455000e+03     4.876523e-20
 2.525000e+03     4.849497e-20
 2.605000e+03     4.832907e-20
 2.685000e+03     4.829483e-20
 2.765000e+03     4.813021e-20
 2.845000e+03     4.758308e-20
 2.950000e+03     4.747001e-20
 3.110000e+03     4.730588e-20
 3.270000e+03     4.702021e-20
 3.430000e+03     4.669840e-20
 3.590000e+03     4.638853e-20
 3.730000e+03     4.651854e-20
 3.890000e+03     4.880848e-20
 4.050000e+03     5.140374e-20
 4.210000e+03     5.470818e-20
 4.370000e+03     5.766044e-20
 4.530000e+03     6.027507e-20
 4.690000e+03     6.256926e-20
 4.850000e+03     6.404541e-20
 5.010000e+03     6.544096e-20
 5.170000e+03     6.646262e-20
 5.330000e+03     6.745240e-20
 5.490000e+03     6.830375e-20
 5.650000e+03     6.910794e-20
 5.810000e+03     6.991188e-20
 5.970000e+03     7.045409e-20
 6.130000e+03     7.100726e-20
 6.290000e+03     7.147219e-20
 6.450000e+03     7.181442e-20
 6.610000e+03     7.214542e-20
 6.770000e+03     7.251476e-20
 6.930000e+03     7.280837e-20
 7.090000e+03     7.303999e-20
 7.250000e+03     7.325016e-20
 7.410000e+03     7.345230e-20
 7.570000e+03     7.371287e-20
 7.730000e+03     7.399385e-20
 7.890000e+03     7.426885e-20
 8.050000e+03     7.447856e-20
 8.210000e+03     7.469580e-20
 8.370000e+03     7.492407e-20
 8.530000e+03     7.512040e-20
 8.690000e+03     7.534733e-20
 8.850000e+03     7.571899e-20
 9.010000e+03     7.603721e-20
 9.170000e+03     7.641278e-20
 9.330000e+03     7.673230e-20
 9.490000e+03     7.720507e-20
 9.650000e+03     7.746537e-20
 9.810000e+03     7.783963e-20
 9.970000e+03     7.813910e-20
 1.050000e+04     7.889010e-20
 1.150000e+04     7.922437e-20
 1.250000e+04     7.919133e-20
 1.350000e+04     7.901706e-20
 1.450000e+04     7.907012e-20
 1.550000e+04     7.974806e-20
 1.650000e+04     7.973634e-20
 1.750000e+04     7.868056e-20
 1.850000e+04     7.706057e-20
 1.950000e+04     7.569597e-20
 2.050000e+04     7.456484e-20
 2.150000e+04     7.368048e-20
 2.250000e+04     7.307473e-20
 2.350000e+04     7.277599e-20
 2.450000e+04     7.281017e-20
 2.550000e+04     7.319961e-20
 2.650000e+04     7.396252e-20
 2.750000e+04     7.511368e-20
 2.850000e+04     7.666493e-20
 2.950000e+04     7.862521e-20
 3.050000e+04     8.099370e-20
 3.150000e+04     8.361243e-20
 3.250000e+04     8.592189e-20
 3.350000e+04     8.756540e-20
 3.450000e+04     8.943188e-20
 3.550000e+04     9.154842e-20
 3.650000e+04     9.369304e-20
 3.750000e+04     9.587758e-20
 3.850000e+04     9.810359e-20
 3.950000e+04     1.003550e-19
 4.050000e+04     1.026220e-19
 4.150000e+04     1.049025e-19
 4.250000e+04     1.072003e-19
 4.350000e+04     1.095152e-19
 4.450000e+04     1.118421e-19
 4.550000e+04     1.141813e-19
 4.650000e+04     1.165343e-19
 4.750000e+04     1.188995e-19
 4.850000e+04     1.212737e-19
 4.950000e+04     1.236546e-19
 5.050000e+04     1.260410e-19
 5.150000e+04     1.284320e-19
 5.250000e+04     1.308276e-19
 5.350000e+04     1.311427e-19
 5.450000e+04     1.313402e-19
 5.550000e+04     1.322548e-19
 5.650000e+04     1.337796e-19
 5.750000e+04     1.363692e-19
 5.850000e+04     1.391452e-19
 5.950000e+04     1.420578e-19
 6.050000e+04     1.464533e-19
 6.150000e+04     1.591594e-19
 6.250000e+04     1.800300e-19
 6.350000e+04     1.929744e-19
 6.450000e+04     1.974557e-19
 6.550000e+04     1.988822e-19
 6.650010e+04     2.017093e-19
 6.750010e+04     2.044366e-19
 6.850010e+04     2.074586e-19
 6.950010e+04     2.108274e-19
 7.020000e+04     2.143338e-19
 7.100000e+04     2.169154e-19
 7.180000e+04     2.203415e-19
 7.260000e+04     2.252326e-19
 7.340000e+04     2.317006e-19
 7.420000e+04     2.409872e-19
 7.500000e+04     2.537699e-19
 7.580000e+04     2.707064e-19
 7.660000e+04     2.891707e-19
 7.740000e+04     3.053186e-19
 7.820000e+04     3.195193e-19
 7.900000e+04     3.317558e-19
 7.980000e+04     3.409609e-19
 8.060000e+04     3.468263e-19
 8.140000e+04     3.505776e-19
 8.220000e+04     3.510551e-19
 8.300000e+04     3.511675e-19
 8.380000e+04     3.512658e-19
 8.460000e+04     3.510211e-19
 8.540000e+04     3.512338e-19
 8.620000e+04     3.527095e-19
 8.700000e+04     3.542034e-19
 8.780000e+04     3.529728e-19
 8.860000e+04     3.489383e-19
 8.940000e+04     3.434969e-19
 9.020000e+04     3.377006e-19
 9.100000e+04     3.318049e-19
 9.180000e+04     3.252223e-19
 9.260000e+04     3.187780e-19
 9.340000e+04     3.124358e-19
 9.420000e+04     3.060437e-19
 9.500000e+04     2.997926e-19
 9.580000e+04     2.939993e-19
 9.660000e+04     2.895664e-19
 9.740000e+04     2.854529e-19
 9.820000e+04     2.801117e-19
 9.900000e+04     2.752680e-19
 9.980000e+04     2.705999e-19
 1.006000e+05     2.659294e-19
 1.020000e+05     2.581788e-19
 1.040000e+05     2.495933e-19
 1.060000e+05     2.454065e-19
 1.080000e+05     2.432677e-19
 1.100000e+05     2.439078e-19
 1.120000e+05     2.635779e-19
 1.140000e+05     2.966456e-19
 1.160000e+05     3.090098e-19
 1.180000e+05     3.086649e-19
 1.200000e+05     3.138593e-19
 1.220000e+05     3.173194e-19
 1.240000e+05     3.231251e-19
 1.260000e+05     3.305653e-19
 1.280000e+05     3.463113e-19
 1.300000e+05     3.530978e-19
 1.320000e+05     3.487806e-19
 1.340000e+05     3.415906e-19
 1.360000e+05     3.399006e-19
 1.380000e+05     3.324422e-19
 1.400000e+05     3.276877e-19
 1.420000e+05     3.216633e-19
 1.440000e+05     3.177795e-19
 1.460000e+05     3.104376e-19
 1.480000e+05     3.052381e-19
 1.500000e+05     2.993410e-19
 1.520000e+05     2.951433e-19
 1.540000e+05     2.910822e-19
 1.560000e+05     2.926922e-19
 1.580000e+05     2.924567e-19
 1.600000e+05     2.906740e-19
 1.620000e+05     2.912863e-19
 1.640000e+05     2.945027e-19
 1.660000e+05     3.026910e-19
 1.680000e+05     3.074854e-19
 1.700000e+05     3.169520e-19
 1.720000e+05     3.273837e-19
 1.740000e+05     3.334727e-19
 1.760000e+05     3.385319e-19
 1.780000e+05     3.388118e-19
 1.800000e+05     3.401016e-19
 1.820000e+05     3.394607e-19
 1.840000e+05     3.387235e-19
 1.860000e+05     3.390969e-19
 1.880000e+05     3.476223e-19
 1.900000e+05     3.496403e-19
 1.920000e+05     3.498301e-19
 1.940000e+05     3.503283e-19
 1.960000e+05     3.499431e-19
 1.980000e+05     3.502714e-19
 2.000000e+05     3.512977e-19
 2.020000e+05     3.521569e-19
 2.040000e+05     3.536473e-19
 2.060000e+05     3.555553e-19
 2.080000e+05     3.574612e-19
 2.100000e+05     3.597720e-19
 2.120000e+05     3.623632e-19
 2.140000e+05     3.650573e-19
 2.160000e+05     3.680902e-19
 2.180000e+05     3.713468e-19
 2.200000e+05     3.747329e-19
 2.220000e+05     3.783311e-19
 2.240000e+05     3.822109e-19
 2.260000e+05     3.862495e-19
 2.280000e+05     3.905837e-19
 2.300000e+05     3.950688e-19
 2.320000e+05     3.996774e-19
 2.340000e+05     4.044065e-19
 2.360000e+05     4.092859e-19
 2.380000e+05     4.143435e-19
 2.400000e+05     4.195326e-19
 2.420000e+05     4.248761e-19
 2.440000e+05     4.303467e-19
 2.460000e+05     4.360141e-19
 2.480000e+05     4.417999e-19
 2.500000e+05     4.477017e-19
 2.520000e+05     4.537162e-19
 2.540000e+05     4.598391e-19
 2.560000e+05     4.662326e-19
 2.580000e+05     4.736236e-19
 2.600000e+05     4.821727e-19
 2.620000e+05     4.899074e-19
 2.640000e+05     4.967110e-19
 2.660000e+05     5.036818e-19
 2.680000e+05     5.106911e-19
 2.700000e+05     5.175504e-19
 2.720000e+05     5.244797e-19
 2.740000e+05     5.318386e-19
 2.760000e+05     5.393122e-19
 2.780000e+05     5.467520e-19
 2.800000e+05     5.545499e-19
 2.820000e+05     5.636104e-19
