## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     7.031763e-37
 1.122019e-08     1.024467e-36
 1.258925e-08     1.480123e-36
 1.412538e-08     2.109657e-36
 1.584893e-08     2.958782e-36
 1.778279e-08     4.080047e-36
 1.995263e-08     5.533651e-36
 2.238721e-08     7.388455e-36
 2.511887e-08     9.723290e-36
 2.818382e-08     1.262828e-35
 3.162278e-08     1.620665e-35
 3.548135e-08     2.057657e-35
 3.981071e-08     2.587359e-35
 4.466837e-08     3.225350e-35
 5.011870e-08     3.989537e-35
 5.623413e-08     4.900578e-35
 6.309576e-08     5.982286e-35
 7.079456e-08     7.262162e-35
 7.943284e-08     8.772044e-35
 8.912505e-08     1.054871e-34
 1.000000e-07     1.263480e-34
 1.122019e-07     1.507964e-34
 1.258925e-07     1.794039e-34
 1.412538e-07     2.128335e-34
 1.584892e-07     2.518521e-34
 1.778279e-07     2.973505e-34
 1.995263e-07     3.503594e-34
 2.238721e-07     4.120735e-34
 2.511887e-07     4.838792e-34
 2.818382e-07     5.673810e-34
 3.162278e-07     6.644414e-34
 3.548136e-07     7.772167e-34
 3.981071e-07     9.082050e-34
 4.466837e-07     1.060307e-33
 5.011870e-07     1.236876e-33
 5.623413e-07     1.441808e-33
 6.309576e-07     1.679610e-33
 7.079456e-07     1.955506e-33
 7.943284e-07     2.275556e-33
 8.912505e-07     2.646775e-33
 1.000000e-06     3.077301e-33
 1.122019e-06     3.576558e-33
 1.258925e-06     4.155459e-33
 1.412538e-06     4.826677e-33
 1.584893e-06     5.604864e-33
 1.778279e-06     6.507025e-33
 1.995263e-06     7.552858e-33
 2.238721e-06     8.765174e-33
 2.511887e-06     1.017043e-32
 2.818382e-06     1.179926e-32
 3.162278e-06     1.368721e-32
 3.548136e-06     1.587541e-32
 3.981071e-06     1.841153e-32
 4.466837e-06     2.135088e-32
 5.011870e-06     2.475743e-32
 5.623413e-06     2.870545e-32
 6.309576e-06     3.328090e-32
 7.079456e-06     3.858336e-32
 7.943284e-06     4.472841e-32
 8.912505e-06     5.184970e-32
 1.000000e-05     6.010242e-32
 1.122019e-05     6.966614e-32
 1.258925e-05     8.074894e-32
 1.412538e-05     9.359229e-32
 1.584893e-05     1.084755e-31
 1.778279e-05     1.257226e-31
 1.995263e-05     1.457091e-31
 2.238721e-05     1.688695e-31
 2.511887e-05     1.957082e-31
 2.818382e-05     2.268090e-31
 3.162278e-05     2.628490e-31
 3.548135e-05     3.046123e-31
 3.981071e-05     3.530072e-31
 4.466837e-05     4.090875e-31
 5.011870e-05     4.740724e-31
 5.623413e-05     5.493772e-31
 6.309577e-05     6.366399e-31
 7.079457e-05     7.377578e-31
 7.943284e-05     8.549329e-31
 8.912505e-05     9.907128e-31
 1.000000e-04     1.148054e-30
 1.122018e-04     1.330377e-30
 1.258926e-04     1.541606e-30
 1.412538e-04     1.784456e-30
 1.584893e-04     2.063815e-30
 1.778279e-04     2.385877e-30
 1.995262e-04     2.758112e-30
 2.238722e-04     3.189382e-30
 2.511887e-04     3.690098e-30
 2.818383e-04     4.272463e-30
 3.162278e-04     4.950778e-30
 3.548134e-04     5.741837e-30
 3.981073e-04     6.665411e-30
 4.466837e-04     7.744811e-30
 5.011873e-04     9.007580e-30
 5.623413e-04     1.048630e-29
 6.309572e-04     1.221953e-29
 7.079460e-04     1.425298e-29
 7.943284e-04     1.664080e-29
 8.912510e-04     1.944731e-29
 1.000000e-03     2.274882e-29
 1.122018e-03     2.663601e-29
 1.258926e-03     3.121675e-29
 1.412538e-03     3.661916e-29
 1.584893e-03     4.299582e-29
 1.778279e-03     5.052844e-29
 1.995262e-03     5.943341e-29
 2.238722e-03     6.996869e-29
 2.511887e-03     8.244164e-29
 2.818383e-03     9.721911e-29
 3.162278e-03     1.147389e-28
 3.548133e-03     1.355234e-28
 3.981073e-03     1.601967e-28
 4.466837e-03     1.895041e-28
 5.011873e-03     2.243368e-28
 5.623413e-03     2.657607e-28
 6.309573e-03     3.150531e-28
 7.079460e-03     3.737483e-28
 7.943284e-03     4.436969e-28
 8.912510e-03     5.271457e-28
 1.000000e-02     6.268406e-28
 1.122019e-02     7.461618e-28
 1.258925e-02     8.892878e-28
 1.412538e-02     1.061405e-27
 1.584894e-02     1.268928e-27
 1.778279e-02     1.519757e-27
 1.995263e-02     1.823565e-27
 2.238721e-02     2.192061e-27
 2.511887e-02     2.639327e-27
 2.818385e-02     3.182131e-27
 3.162277e-02     3.840307e-27
 3.548136e-02     4.637235e-27
 3.981071e-02     5.600309e-27
 4.466837e-02     6.761673e-27
 5.011876e-02     8.158977e-27
 5.623413e-02     9.836394e-27
 6.309576e-02     1.184595e-26
 7.079456e-02     1.424891e-26
 7.943284e-02     1.711778e-26
 8.912515e-02     2.053842e-26
 1.000000e-01     2.461272e-26
 1.122019e-01     2.946277e-26
 1.258925e-01     3.518436e-26
 1.412538e-01     4.177135e-26
 1.584894e-01     4.917818e-26
 1.778279e-01     5.733298e-26
 1.995263e-01     6.615008e-26
 2.238721e-01     7.553994e-26
 2.511887e-01     8.541672e-26
 2.818385e-01     9.570187e-26
 3.162278e-01     1.063260e-25
 3.548135e-01     1.172295e-25
 3.981071e-01     1.283621e-25
 4.466837e-01     1.396824e-25
 5.011876e-01     1.511572e-25
 5.623413e-01     1.627608e-25
 6.309576e-01     1.744746e-25
 7.079456e-01     1.862850e-25
 7.943284e-01     1.981844e-25
 8.912515e-01     2.101688e-25
 1.000000e+00     2.222376e-25
 1.122019e+00     2.343930e-25
 1.258925e+00     2.466385e-25
 1.412538e+00     2.589795e-25
 1.584894e+00     2.714215e-25
 1.778279e+00     2.839702e-25
 1.995263e+00     2.966314e-25
 2.238721e+00     3.094103e-25
 2.511887e+00     3.223121e-25
 2.818385e+00     3.353416e-25
 3.162278e+00     3.485039e-25
 3.548136e+00     3.618059e-25
 3.981071e+00     3.752563e-25
 4.466837e+00     3.888683e-25
 5.011876e+00     4.026608e-25
 5.623413e+00     4.166615e-25
 6.309576e+00     4.308667e-25
 7.079456e+00     4.441292e-25
 7.943284e+00     4.565497e-25
 8.912516e+00     4.685384e-25
 1.000000e+01     4.806341e-25
 1.122019e+01     4.934137e-25
 1.258925e+01     5.074709e-25
 1.412538e+01     5.255966e-25
 1.584894e+01     5.501420e-25
 1.778279e+01     5.833683e-25
 1.995263e+01     6.275890e-25
 2.238721e+01     6.852178e-25
