## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     8.747410e-38
 1.122019e-08     1.271432e-37
 1.258925e-08     1.818268e-37
 1.412538e-08     2.548758e-37
 1.584893e-08     3.503006e-37
 1.778279e-08     4.727813e-37
 1.995263e-08     6.277054e-37
 2.238721e-08     8.212367e-37
 2.511887e-08     1.060425e-36
 2.818382e-08     1.353324e-36
 3.162278e-08     1.709166e-36
 3.548135e-08     2.138533e-36
 3.981071e-08     2.653593e-36
 4.466837e-08     3.268369e-36
 5.011870e-08     3.999016e-36
 5.623413e-08     4.864219e-36
 6.309576e-08     5.885561e-36
 7.079456e-08     7.088006e-36
 7.943284e-08     8.500494e-36
 8.912505e-08     1.015648e-35
 1.000000e-07     1.209482e-35
 1.122019e-07     1.436042e-35
 1.258925e-07     1.700538e-35
 1.412538e-07     2.009015e-35
 1.584892e-07     2.368464e-35
 1.778279e-07     2.787006e-35
 1.995263e-07     3.274040e-35
 2.238721e-07     3.840462e-35
 2.511887e-07     4.498911e-35
 2.818382e-07     5.264016e-35
 3.162278e-07     6.152761e-35
 3.548136e-07     7.184806e-35
 3.981071e-07     8.382926e-35
 4.466837e-07     9.773563e-35
 5.011870e-07     1.138730e-34
 5.623413e-07     1.325963e-34
 6.309576e-07     1.543167e-34
 7.079456e-07     1.795103e-34
 7.943284e-07     2.087295e-34
 8.912505e-07     2.426137e-34
 1.000000e-06     2.819049e-34
 1.122019e-06     3.274619e-34
 1.258925e-06     3.802799e-34
 1.412538e-06     4.415136e-34
 1.584893e-06     5.124987e-34
 1.778279e-06     5.947854e-34
 1.995263e-06     6.901692e-34
 2.238721e-06     8.007291e-34
 2.511887e-06     9.288773e-34
 2.818382e-06     1.077406e-33
 3.162278e-06     1.249554e-33
 3.548136e-06     1.449071e-33
 3.981071e-06     1.680303e-33
 4.466837e-06     1.948289e-33
 5.011870e-06     2.258863e-33
 5.623413e-06     2.618794e-33
 6.309576e-06     3.035915e-33
 7.079456e-06     3.519305e-33
 7.943284e-06     4.079497e-33
 8.912505e-06     4.728674e-33
 1.000000e-05     5.480981e-33
 1.122019e-05     6.352788e-33
 1.258925e-05     7.363058e-33
 1.412538e-05     8.533802e-33
 1.584893e-05     9.890475e-33
 1.778279e-05     1.146262e-32
 1.995263e-05     1.328445e-32
 2.238721e-05     1.539559e-32
 2.511887e-05     1.784200e-32
 2.818382e-05     2.067689e-32
 3.162278e-05     2.396200e-32
 3.548135e-05     2.776876e-32
 3.981071e-05     3.217998e-32
 4.466837e-05     3.729173e-32
 5.011870e-05     4.321511e-32
 5.623413e-05     5.007913e-32
 6.309577e-05     5.803309e-32
 7.079457e-05     6.724993e-32
 7.943284e-05     7.793035e-32
 8.912505e-05     9.030655e-32
 1.000000e-04     1.046480e-31
 1.122018e-04     1.212666e-31
 1.258926e-04     1.404975e-31
 1.412538e-04     1.623371e-31
 1.584893e-04     1.874792e-31
 1.778279e-04     2.165981e-31
 1.995262e-04     2.504195e-31
 2.238722e-04     2.897679e-31
 2.511887e-04     3.356011e-31
 2.818383e-04     3.890437e-31
 3.162278e-04     4.514210e-31
 3.548134e-04     5.242970e-31
 3.981073e-04     6.095209e-31
 4.466837e-04     7.092787e-31
 5.011873e-04     8.261597e-31
 5.623413e-04     9.632303e-31
 6.309572e-04     1.124126e-30
 7.079460e-04     1.313162e-30
 7.943284e-04     1.535454e-30
 8.912510e-04     1.797082e-30
 1.000000e-03     2.105273e-30
 1.122018e-03     2.468620e-30
 1.258926e-03     2.897349e-30
 1.412538e-03     3.403623e-30
 1.584893e-03     4.001936e-30
 1.778279e-03     4.709563e-30
 1.995262e-03     5.547086e-30
 2.238722e-03     6.539066e-30
 2.511887e-03     7.714783e-30
 2.818383e-03     9.109207e-30
 3.162278e-03     1.076409e-29
 3.548133e-03     1.272930e-29
 3.981073e-03     1.506442e-29
 4.466837e-03     1.784068e-29
 5.011873e-03     2.114328e-29
 5.623413e-03     2.507431e-29
 6.309573e-03     2.975636e-29
 7.079460e-03     3.533738e-29
 7.943284e-03     4.199707e-29
 8.912510e-03     4.995558e-29
 1.000000e-02     5.948490e-29
 1.122019e-02     7.092317e-29
 1.258925e-02     8.469130e-29
 1.412538e-02     1.013129e-28
 1.584894e-02     1.214332e-28
 1.778279e-02     1.458414e-28
 1.995263e-02     1.754916e-28
 2.238721e-02     2.115237e-28
 2.511887e-02     2.552896e-28
 2.818385e-02     3.083790e-28
 3.162277e-02     3.726523e-28
 3.548136e-02     4.502868e-28
 3.981071e-02     5.438223e-28
 4.466837e-02     6.562364e-28
 5.011876e-02     7.910200e-28
 5.623413e-02     9.522813e-28
 6.309576e-02     1.144877e-27
 7.079456e-02     1.374551e-27
 7.943284e-02     1.648128e-27
 8.912515e-02     1.973719e-27
 1.000000e-01     2.360980e-27
 1.122019e-01     2.821814e-27
 1.258925e-01     3.355271e-27
 1.412538e-01     3.944780e-27
 1.584894e-01     4.579882e-27
 1.778279e-01     5.253062e-27
 1.995263e-01     5.958305e-27
 2.238721e-01     6.690432e-27
 2.511887e-01     7.444940e-27
 2.818385e-01     8.217892e-27
 3.162278e-01     9.005923e-27
 3.548135e-01     9.806260e-27
 3.981071e-01     1.061666e-26
 4.466837e-01     1.143542e-26
 5.011876e-01     1.226128e-26
 5.623413e-01     1.309342e-26
 6.309576e-01     1.393115e-26
 7.079456e-01     1.477445e-26
 7.943284e-01     1.562335e-26
 8.912515e-01     1.647801e-26
 1.000000e+00     1.733864e-26
 1.122019e+00     1.820555e-26
 1.258925e+00     1.907897e-26
 1.412538e+00     1.995902e-26
 1.584894e+00     2.084560e-26
 1.778279e+00     2.173830e-26
 1.995263e+00     2.263630e-26
 2.238721e+00     2.353808e-26
 2.511887e+00     2.444121e-26
 2.818385e+00     2.534199e-26
 3.162278e+00     2.623477e-26
 3.548136e+00     2.711123e-26
 3.981071e+00     2.795922e-26
 4.466837e+00     2.876133e-26
 5.011876e+00     2.949290e-26
 5.623413e+00     3.012011e-26
 6.309576e+00     3.056724e-26
 7.079456e+00     3.053799e-26
 7.943284e+00     3.012072e-26
 8.912516e+00     2.946203e-26
 1.000000e+01     2.833136e-26
 1.122019e+01     2.712025e-26
 1.258925e+01     2.577531e-26
 1.412538e+01     2.415646e-26
 1.584894e+01     2.272623e-26
 1.778279e+01     2.120029e-26
 1.995263e+01     1.961422e-26
 2.238721e+01     1.803595e-26
 2.511887e+01     1.643796e-26
 2.818385e+01     1.484967e-26
 3.162278e+01     1.330005e-26
 3.548135e+01     1.182749e-26
 3.981071e+01     1.046175e-26
 4.466837e+01     9.222863e-27
 5.011876e+01     8.129029e-27
 5.623413e+01     7.183986e-27
 6.309576e+01     6.374791e-27
 7.079456e+01     5.690361e-27
 7.943284e+01     5.109870e-27
 8.912515e+01     4.621744e-27
 1.000000e+02     4.211732e-27
 1.120000e+02     3.875257e-27
 1.250000e+02     3.606095e-27
 1.400000e+02     3.381472e-27
 1.550000e+02     3.219370e-27
 1.650000e+02     3.138485e-27
 1.750000e+02     3.075921e-27
 1.850000e+02     3.032186e-27
 1.900000e+02     3.027914e-27
 1.950000e+02     3.052907e-27
 2.000000e+02     3.137625e-27
 2.050000e+02     3.352763e-27
 2.100000e+02     3.839589e-27
 2.150000e+02     4.875016e-27
 2.180000e+02     5.962015e-27
 2.210000e+02     7.605663e-27
 2.240000e+02     1.006013e-26
 2.260000e+02     1.233016e-26
 2.270000e+02     1.369713e-26
 2.275000e+02     1.444813e-26
 2.278400e+02     1.498649e-26
 2.380000e+02     1.292471e-23
 2.500000e+02     2.894334e-23
 2.700000e+02     4.235483e-23
 2.900000e+02     5.003859e-23
 3.035000e+02     5.400202e-23
 3.037800e+02     6.150424e-23
 3.045000e+02     6.114533e-23
 3.060000e+02     6.064306e-23
 3.080000e+02     6.011262e-23
 3.100000e+02     5.972608e-23
 3.120000e+02     5.949609e-23
 3.150000e+02     5.933538e-23
 3.200000e+02     5.958586e-23
 3.250000e+02     6.015320e-23
 3.300000e+02     6.095320e-23
 3.400000e+02     6.293663e-23
 3.600000e+02     6.743516e-23
 3.800000e+02     7.204522e-23
 4.050000e+02     7.780339e-23
 4.250000e+02     8.242689e-23
 4.500000e+02     8.818641e-23
 4.650000e+02     9.166304e-23
 4.750000e+02     9.394316e-23
 4.820000e+02     9.555402e-23
 4.870000e+02     9.669187e-23
 4.910000e+02     9.761192e-23
 4.950000e+02     9.852444e-23
 4.980000e+02     9.922121e-23
 5.000000e+02     9.965551e-23
 5.020000e+02     1.001355e-22
 5.039800e+02     1.005672e-22
 5.100000e+02     1.077810e-22
 5.250000e+02     1.193427e-22
 5.600000e+02     1.343322e-22
 6.000000e+02     1.470256e-22
 6.500000e+02     1.620079e-22
 7.000000e+02     1.788720e-22
 7.500000e+02     1.997560e-22
 8.000000e+02     2.267342e-22
 8.300000e+02     2.468637e-22
 8.600000e+02     2.710436e-22
 8.800000e+02     2.894492e-22
 8.900000e+02     2.996652e-22
 8.960000e+02     3.058676e-22
 9.000000e+02     3.103264e-22
 9.030000e+02     3.135622e-22
 9.060000e+02     3.169452e-22
 9.090000e+02     3.203966e-22
 9.117800e+02     3.236322e-22
 9.300000e+02     7.795284e-22
 9.500000e+02     1.652584e-21
 9.750000e+02     3.066600e-21
 9.900000e+02     3.768567e-21
 1.005000e+03     4.605229e-21
 1.025000e+03     5.983511e-21
 1.045000e+03     7.129410e-21
 1.065000e+03     8.741619e-21
 1.085000e+03     1.032979e-20
 1.105000e+03     1.186622e-20
 1.125000e+03     1.348186e-20
 1.145000e+03     1.493868e-20
 1.165000e+03     1.654525e-20
 1.185000e+03     1.793235e-20
 1.205000e+03     1.928931e-20
 1.215600e+03     1.988783e-20
 1.215670e+03     2.154117e-20
 1.216000e+03     2.155553e-20
 1.218000e+03     2.164110e-20
 1.221000e+03     2.176860e-20
 1.225000e+03     2.193805e-20
 1.230000e+03     2.214993e-20
 1.240000e+03     2.270629e-20
 1.250000e+03     2.332186e-20
 1.265000e+03     2.441238e-20
 1.285000e+03     2.576376e-20
 1.305000e+03     2.734596e-20
 1.325000e+03     2.874010e-20
 1.345000e+03     2.993347e-20
 1.365000e+03     3.125088e-20
 1.385000e+03     3.275647e-20
 1.405000e+03     3.380741e-20
 1.425000e+03     3.483051e-20
 1.442000e+03     3.581118e-20
 1.455000e+03     3.655665e-20
 1.475000e+03     3.778531e-20
 1.517000e+03     3.956074e-20
 1.595000e+03     4.234456e-20
 1.672000e+03     4.467732e-20
 1.745000e+03     4.665128e-20
 1.825000e+03     4.848592e-20
 1.905000e+03     4.970857e-20
 1.984000e+03     5.070239e-20
 2.065000e+03     5.135587e-20
 2.135000e+03     5.171226e-20
 2.215000e+03     5.201832e-20
 2.295000e+03     5.213083e-20
 2.375000e+03     5.229074e-20
 2.455000e+03     5.248904e-20
 2.525000e+03     5.256909e-20
 2.605000e+03     5.276410e-20
 2.685000e+03     5.321977e-20
 2.765000e+03     5.338977e-20
 2.845000e+03     5.344028e-20
 2.950000e+03     5.366606e-20
 3.110000e+03     5.400049e-20
 3.270000e+03     5.414737e-20
 3.430000e+03     5.420628e-20
 3.590000e+03     5.405563e-20
 3.730000e+03     5.454804e-20
 3.890000e+03     5.748898e-20
 4.050000e+03     6.115345e-20
 4.210000e+03     6.587827e-20
 4.370000e+03     6.971566e-20
 4.530000e+03     7.322623e-20
 4.690000e+03     7.638570e-20
 4.850000e+03     7.843585e-20
 5.010000e+03     8.041118e-20
 5.170000e+03     8.205765e-20
 5.330000e+03     8.363267e-20
 5.490000e+03     8.506977e-20
 5.650000e+03     8.645402e-20
 5.810000e+03     8.783353e-20
 5.970000e+03     8.884760e-20
 6.130000e+03     8.985995e-20
 6.290000e+03     9.072643e-20
 6.450000e+03     9.145388e-20
 6.610000e+03     9.209122e-20
 6.770000e+03     9.277332e-20
 6.930000e+03     9.333975e-20
 7.090000e+03     9.380389e-20
 7.250000e+03     9.422541e-20
 7.410000e+03     9.463855e-20
 7.570000e+03     9.510391e-20
 7.730000e+03     9.561994e-20
 7.890000e+03     9.609104e-20
 8.050000e+03     9.649552e-20
 8.210000e+03     9.690990e-20
 8.370000e+03     9.731348e-20
 8.530000e+03     9.768817e-20
 8.690000e+03     9.809100e-20
 8.850000e+03     9.866131e-20
 9.010000e+03     9.919114e-20
 9.170000e+03     9.971959e-20
 9.330000e+03     1.003425e-19
 9.490000e+03     1.009963e-19
 9.650000e+03     1.015139e-19
 9.810000e+03     1.020668e-19
 9.970000e+03     1.026065e-19
 1.050000e+04     1.038312e-19
 1.150000e+04     1.047293e-19
 1.250000e+04     1.050005e-19
 1.350000e+04     1.050376e-19
 1.450000e+04     1.052202e-19
 1.550000e+04     1.061671e-19
 1.650000e+04     1.067167e-19
 1.750000e+04     1.061268e-19
 1.850000e+04     1.043340e-19
 1.950000e+04     1.015692e-19
 2.050000e+04     9.860076e-20
 2.150000e+04     9.549539e-20
 2.250000e+04     9.221554e-20
 2.350000e+04     8.817408e-20
 2.450000e+04     8.386638e-20
 2.550000e+04     8.047375e-20
 2.650000e+04     7.757673e-20
 2.750000e+04     7.556931e-20
 2.850000e+04     7.405500e-20
 2.950000e+04     7.286545e-20
 3.050000e+04     7.188627e-20
 3.150000e+04     7.107578e-20
 3.250000e+04     7.042385e-20
 3.350000e+04     6.995797e-20
 3.450000e+04     6.972600e-20
 3.550000e+04     6.977649e-20
 3.650000e+04     7.012066e-20
 3.750000e+04     7.080632e-20
 3.850000e+04     7.195227e-20
