## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     3.175583e-43
 1.122019e-08     4.623350e-43
 1.258925e-08     6.585099e-43
 1.412538e-08     9.174384e-43
 1.584893e-08     1.252898e-42
 1.778279e-08     1.680769e-42
 1.995263e-08     2.219185e-42
 2.238721e-08     2.888817e-42
 2.511887e-08     3.713280e-42
 2.818382e-08     4.719553e-42
 3.162278e-08     5.938579e-42
 3.548135e-08     7.405861e-42
 3.981071e-08     9.162242e-42
 4.466837e-08     1.125483e-41
 5.011870e-08     1.373793e-41
 5.623413e-08     1.667438e-41
 6.309576e-08     2.013678e-41
 7.079456e-08     2.420913e-41
 7.943284e-08     2.898884e-41
 8.912505e-08     3.458855e-41
 1.000000e-07     4.113900e-41
 1.122019e-07     4.879149e-41
 1.258925e-07     5.772137e-41
 1.412538e-07     6.813218e-41
 1.584892e-07     8.025930e-41
 1.778279e-07     9.437623e-41
 1.995263e-07     1.107994e-40
 2.238721e-07     1.298958e-40
 2.511887e-07     1.520907e-40
 2.818382e-07     1.778770e-40
 3.162278e-07     2.078264e-40
 3.548136e-07     2.426008e-40
 3.981071e-07     2.829672e-40
 4.466837e-07     3.298156e-40
 5.011870e-07     3.841759e-40
 5.623413e-07     4.472435e-40
 6.309576e-07     5.204019e-40
 7.079456e-07     6.052544e-40
 7.943284e-07     7.036615e-40
 8.912505e-07     8.177751e-40
 1.000000e-06     9.500939e-40
 1.122019e-06     1.103509e-39
 1.258925e-06     1.281371e-39
 1.412538e-06     1.487569e-39
 1.584893e-06     1.726598e-39
 1.778279e-06     2.003678e-39
 1.995263e-06     2.324854e-39
 2.238721e-06     2.697127e-39
 2.511887e-06     3.128616e-39
 2.818382e-06     3.628722e-39
 3.162278e-06     4.208352e-39
 3.548136e-06     4.880131e-39
 3.981071e-06     5.658684e-39
 4.466837e-06     6.560987e-39
 5.011870e-06     7.606672e-39
 5.623413e-06     8.818531e-39
 6.309576e-06     1.022294e-38
 7.079456e-06     1.185047e-38
 7.943284e-06     1.373657e-38
 8.912505e-06     1.592227e-38
 1.000000e-05     1.845519e-38
 1.122019e-05     2.139043e-38
 1.258925e-05     2.479185e-38
 1.412538e-05     2.873357e-38
 1.584893e-05     3.330126e-38
 1.778279e-05     3.859439e-38
 1.995263e-05     4.472817e-38
 2.238721e-05     5.183600e-38
 2.511887e-05     6.007263e-38
 2.818382e-05     6.961717e-38
 3.162278e-05     8.067747e-38
 3.548135e-05     9.349410e-38
 3.981071e-05     1.083458e-37
 4.466837e-05     1.255560e-37
 5.011870e-05     1.454989e-37
 5.623413e-05     1.686086e-37
 6.309577e-05     1.953880e-37
 7.079457e-05     2.264192e-37
 7.943284e-05     2.623780e-37
 8.912505e-05     3.040460e-37
 1.000000e-04     3.523308e-37
 1.122018e-04     4.082818e-37
 1.258926e-04     4.730409e-37
 1.412538e-04     5.460663e-37
 1.584893e-04     6.304275e-37
 1.778279e-04     7.283977e-37
 1.995262e-04     8.423403e-37
 2.238722e-04     9.749954e-37
 2.511887e-04     1.129584e-36
 2.818383e-04     1.309909e-36
