## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.517822e-37
 1.122019e-08     3.660561e-37
 1.258925e-08     5.240767e-37
 1.412538e-08     7.358132e-37
 1.584893e-08     1.013103e-36
 1.778279e-08     1.369739e-36
 1.995263e-08     1.821604e-36
 2.238721e-08     2.386881e-36
 2.511887e-08     3.086375e-36
 2.818382e-08     3.943853e-36
 3.162278e-08     4.986558e-36
 3.548135e-08     6.245716e-36
 3.981071e-08     7.757217e-36
 4.466837e-08     9.562420e-36
 5.011870e-08     1.170896e-35
 5.623413e-08     1.425193e-35
 6.309576e-08     1.725495e-35
 7.079456e-08     2.079158e-35
 7.943284e-08     2.494714e-35
 8.912505e-08     2.982024e-35
 1.000000e-07     3.552532e-35
 1.122019e-07     4.219482e-35
 1.258925e-07     4.998221e-35
 1.412538e-07     5.906562e-35
 1.584892e-07     6.965107e-35
 1.778279e-07     8.197791e-35
 1.995263e-07     9.632313e-35
 2.238721e-07     1.130077e-34
 2.511887e-07     1.324042e-34
 2.818382e-07     1.549437e-34
 3.162278e-07     1.811267e-34
 3.548136e-07     2.115325e-34
 3.981071e-07     2.468323e-34
 4.466837e-07     2.878052e-34
 5.011870e-07     3.353525e-34
 5.623413e-07     3.905206e-34
 6.309576e-07     4.545204e-34
 7.079456e-07     5.287552e-34
 7.943284e-07     6.148533e-34
 8.912505e-07     7.146984e-34
 1.000000e-06     8.304775e-34
 1.122019e-06     9.647214e-34
 1.258925e-06     1.120362e-33
 1.412538e-06     1.300804e-33
 1.584893e-06     1.509982e-33
 1.778279e-06     1.752465e-33
 1.995263e-06     2.033544e-33
 2.238721e-06     2.359345e-33
 2.511887e-06     2.736978e-33
 2.818382e-06     3.174669e-33
 3.162278e-06     3.681965e-33
 3.548136e-06     4.269918e-33
 3.981071e-06     4.951329e-33
 4.466837e-06     5.741055e-33
 5.011870e-06     6.656283e-33
 5.623413e-06     7.716960e-33
 6.309576e-06     8.946176e-33
 7.079456e-06     1.037068e-32
 7.943284e-06     1.202152e-32
 8.912505e-06     1.393458e-32
 1.000000e-05     1.615157e-32
 1.122019e-05     1.872072e-32
 1.258925e-05     2.169790e-32
 1.412538e-05     2.514799e-32
 1.584893e-05     2.914600e-32
 1.778279e-05     3.377899e-32
 1.995263e-05     3.914779e-32
 2.238721e-05     4.536916e-32
 2.511887e-05     5.257857e-32
 2.818382e-05     6.093280e-32
 3.162278e-05     7.061377e-32
 3.548135e-05     8.183203e-32
 3.981071e-05     9.483162e-32
 4.466837e-05     1.098956e-31
 5.011870e-05     1.273514e-31
 5.623413e-05     1.475792e-31
 6.309577e-05     1.710191e-31
 7.079457e-05     1.981804e-31
 7.943284e-05     2.296550e-31
 8.912505e-05     2.661269e-31
 1.000000e-04     3.083903e-31
 1.122018e-04     3.573640e-31
 1.258926e-04     4.140512e-31
 1.412538e-04     4.785100e-31
 1.584893e-04     5.526756e-31
 1.778279e-04     6.385185e-31
 1.995262e-04     7.381819e-31
 2.238722e-04     8.541007e-31
 2.511887e-04     9.890986e-31
 2.818383e-04     1.146487e-30
 3.162278e-04     1.330166e-30
 3.548134e-04     1.544735e-30
 3.981073e-04     1.795632e-30
 4.466837e-04     2.089284e-30
 5.011873e-04     2.433303e-30
 5.623413e-04     2.836704e-30
 6.309572e-04     3.310174e-30
 7.079460e-04     3.866390e-30
 7.943284e-04     4.520391e-30
 8.912510e-04     5.290050e-30
 1.000000e-03     6.196598e-30
 1.122018e-03     7.265279e-30
 1.258926e-03     8.526148e-30
 1.412538e-03     1.001493e-29
 1.584893e-03     1.177422e-29
 1.778279e-03     1.385474e-29
 1.995262e-03     1.631698e-29
 2.238722e-03     1.923306e-29
 2.511887e-03     2.268900e-29
 2.818383e-03     2.678749e-29
 3.162278e-03     3.165116e-29
 3.548133e-03     3.742644e-29
 3.981073e-03     4.428838e-29
 4.466837e-03     5.244607e-29
 5.011873e-03     6.214973e-29
 5.623413e-03     7.369905e-29
 6.309573e-03     8.745391e-29
 7.079460e-03     1.038484e-28
 7.943284e-03     1.234093e-28
 8.912510e-03     1.467817e-28
 1.000000e-02     1.747615e-28
 1.122019e-02     2.083380e-28
 1.258925e-02     2.487419e-28
 1.412538e-02     2.975041e-28
 1.584894e-02     3.565130e-28
 1.778279e-02     4.280786e-28
 1.995263e-02     5.149984e-28
 2.238721e-02     6.206179e-28
 2.511887e-02     7.489088e-28
 2.818385e-02     9.045453e-28
 3.162277e-02     1.093003e-27
 3.548136e-02     1.320689e-27
 3.981071e-02     1.595084e-27
 4.466837e-02     1.924949e-27
 5.011876e-02     2.320561e-27
 5.623413e-02     2.794005e-27
 6.309576e-02     3.359566e-27
 7.079456e-02     4.034129e-27
 7.943284e-02     4.837757e-27
 8.912515e-02     5.794281e-27
 1.000000e-01     6.932067e-27
 1.122019e-01     8.285935e-27
 1.258925e-01     9.857105e-27
 1.412538e-01     1.160076e-26
 1.584894e-01     1.348591e-26
 1.778279e-01     1.548932e-26
 1.995263e-01     1.759218e-26
 2.238721e-01     1.977835e-26
 2.511887e-01     2.203387e-26
 2.818385e-01     2.434658e-26
 3.162278e-01     2.670610e-26
 3.548135e-01     2.910384e-26
 3.981071e-01     3.153280e-26
 4.466837e-01     3.398764e-26
 5.011876e-01     3.646439e-26
 5.623413e-01     3.896035e-26
 6.309576e-01     4.147388e-26
 7.079456e-01     4.400429e-26
 7.943284e-01     4.655168e-26
 8.912515e-01     4.911658e-26
 1.000000e+00     5.169989e-26
 1.122019e+00     5.430276e-26
 1.258925e+00     5.692631e-26
 1.412538e+00     5.957170e-26
 1.584894e+00     6.223976e-26
 1.778279e+00     6.493100e-26
 1.995263e+00     6.764557e-26
 2.238721e+00     7.038285e-26
 2.511887e+00     7.314154e-26
 2.818385e+00     7.591925e-26
 3.162278e+00     7.871222e-26
 3.548136e+00     8.151486e-26
 3.981071e+00     8.431876e-26
 4.466837e+00     8.711189e-26
 5.011876e+00     8.987662e-26
 5.623413e+00     9.258761e-26
 6.309576e+00     9.515063e-26
 7.079456e+00     9.682383e-26
 7.943284e+00     9.803455e-26
 8.912516e+00     9.896163e-26
 1.000000e+01     9.962244e-26
 1.122019e+01     9.992035e-26
 1.258925e+01     1.000067e-25
 1.412538e+01     1.010888e-25
 1.584894e+01     1.021319e-25
 1.778279e+01     1.035875e-25
 1.995263e+01     1.071946e-25
 2.238721e+01     1.101983e-25
 2.511887e+01     1.127695e-25
 2.818385e+01     1.148308e-25
 3.162278e+01     1.158058e-25
 3.548135e+01     1.156705e-25
 3.981071e+01     1.143217e-25
 4.466837e+01     1.115537e-25
 5.011876e+01     1.077724e-25
 5.623413e+01     1.031588e-25
 6.309576e+01     9.817346e-26
 7.079456e+01     9.308959e-26
 7.943284e+01     8.820190e-26
 8.912515e+01     8.372788e-26
 1.000000e+02     7.979795e-26
 1.120000e+02     7.658729e-26
 1.250000e+02     7.413089e-26
 1.400000e+02     7.226317e-26
 1.550000e+02     7.113149e-26
 1.650000e+02     7.068610e-26
 1.750000e+02     7.044156e-26
 1.850000e+02     7.048185e-26
 1.900000e+02     7.079316e-26
 1.950000e+02     7.162244e-26
 2.000000e+02     7.360090e-26
 2.050000e+02     7.809092e-26
 2.100000e+02     8.786872e-26
 2.150000e+02     1.084392e-25
 2.180000e+02     1.300245e-25
 2.210000e+02     1.626244e-25
 2.240000e+02     2.113346e-25
 2.260000e+02     2.562858e-25
 2.270000e+02     2.834274e-25
 2.275000e+02     2.983374e-25
 2.278400e+02     3.163789e-25
 2.380000e+02     1.056554e-23
 2.500000e+02     2.381030e-23
 2.700000e+02     3.866911e-23
 2.900000e+02     4.892542e-23
 3.035000e+02     5.429607e-23
 3.037800e+02     7.546312e-23
 3.045000e+02     7.470576e-23
