## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     1.403271e-44
 1.122019e-08     2.042275e-44
 1.258925e-08     2.906850e-44
 1.412538e-08     4.046933e-44
 1.584893e-08     5.522998e-44
 1.778279e-08     7.404651e-44
 1.995263e-08     9.771326e-44
 2.238721e-08     1.271356e-43
 2.511887e-08     1.633478e-43
 2.818382e-08     2.075319e-43
 3.162278e-08     2.610432e-43
 3.548135e-08     3.254371e-43
 3.981071e-08     4.025033e-43
 4.466837e-08     4.943058e-43
 5.011870e-08     6.032242e-43
 5.623413e-08     7.320122e-43
 6.309576e-08     8.838513e-43
 7.079456e-08     1.062423e-42
 7.943284e-08     1.271996e-42
 8.912505e-08     1.517506e-42
 1.000000e-07     1.804684e-42
 1.122019e-07     2.140161e-42
 1.258925e-07     2.531620e-42
 1.412538e-07     2.987983e-42
 1.584892e-07     3.519565e-42
 1.778279e-07     4.138354e-42
 1.995263e-07     4.858218e-42
 2.238721e-07     5.695233e-42
 2.511887e-07     6.668052e-42
 2.818382e-07     7.798264e-42
 3.162278e-07     9.110927e-42
 3.548136e-07     1.063505e-41
 3.981071e-07     1.240425e-41
 4.466837e-07     1.445753e-41
 5.011870e-07     1.684003e-41
 5.623413e-07     1.960413e-41
 6.309576e-07     2.281047e-41
 7.079456e-07     2.652932e-41
 7.943284e-07     3.084221e-41
 8.912505e-07     3.584345e-41
 1.000000e-06     4.164255e-41
 1.122019e-06     4.836622e-41
 1.258925e-06     5.616129e-41
 1.412538e-06     6.519817e-41
 1.584893e-06     7.567395e-41
 1.778279e-06     8.781732e-41
 1.995263e-06     1.018933e-40
 2.238721e-06     1.182085e-40
 2.511887e-06     1.371190e-40
 2.818382e-06     1.590367e-40
 3.162278e-06     1.844395e-40
 3.548136e-06     2.138809e-40
 3.981071e-06     2.480017e-40
 4.466837e-06     2.875459e-40
 5.011870e-06     3.333740e-40
 5.623413e-06     3.864847e-40
 6.309576e-06     4.480342e-40
 7.079456e-06     5.193619e-40
 7.943284e-06     6.020218e-40
 8.912505e-06     6.978117e-40
 1.000000e-05     8.088187e-40
 1.122019e-05     9.374582e-40
 1.258925e-05     1.086528e-39
 1.412538e-05     1.259276e-39
 1.584893e-05     1.459459e-39
 1.778279e-05     1.691434e-39
 1.995263e-05     1.960252e-39
 2.238721e-05     2.271757e-39
 2.511887e-05     2.632733e-39
 2.818382e-05     3.051030e-39
 3.162278e-05     3.535755e-39
 3.548135e-05     4.097453e-39
 3.981071e-05     4.748340e-39
 4.466837e-05     5.502590e-39
 5.011870e-05     6.376598e-39
 5.623413e-05     7.389399e-39
 6.309577e-05     8.563022e-39
 7.079457e-05     9.922985e-39
 7.943284e-05     1.149890e-38
 8.912505e-05     1.332504e-38
 1.000000e-04     1.544115e-38
 1.122018e-04     1.789324e-38
 1.258926e-04     2.073093e-38
 1.412538e-04     2.392860e-38
 1.584893e-04     2.762524e-38
 1.778279e-04     3.191912e-38
 1.995262e-04     3.691341e-38
 2.238722e-04     4.272814e-38
 2.511887e-04     4.950456e-38
 2.818383e-04     5.740940e-38
 3.162278e-04     6.663947e-38
 3.548134e-04     7.742727e-38
 3.981073e-04     9.004778e-38
 4.466837e-04     1.048262e-37
 5.011873e-04     1.221480e-37
 5.623413e-04     1.424694e-37
 6.309572e-04     1.663319e-37
 7.079460e-04     1.943780e-37
 7.943284e-04     2.273700e-37
 8.912510e-04     2.662140e-37
 1.000000e-03     3.119871e-37
 1.122018e-03     3.659700e-37
 1.258926e-03     4.296881e-37
 1.412538e-03     5.049552e-37
 1.584893e-03     5.939334e-37
 1.778279e-03     6.992002e-37
 1.995262e-03     8.238276e-37
 2.238722e-03     9.714809e-37
 2.511887e-03     1.146532e-36
 2.818383e-03     1.354201e-36
 3.162278e-03     1.600724e-36
 3.548133e-03     1.893546e-36
 3.981073e-03     2.241572e-36
 4.466837e-03     2.655439e-36
 5.011873e-03     3.147882e-36
 5.623413e-03     3.734162e-36
 6.309573e-03     4.432627e-36
 7.079460e-03     5.265451e-36
 7.943284e-03     6.259634e-36
 8.912510e-03     7.448362e-36
 1.000000e-02     8.872766e-36
 1.122019e-02     1.058410e-35
 1.258925e-02     1.264626e-35
 1.412538e-02     1.513866e-35
 1.584894e-02     1.815898e-35
 1.778279e-02     2.182622e-35
 1.995263e-02     2.628370e-35
 2.238721e-02     3.170191e-35
 2.511887e-02     3.828220e-35
 2.818385e-02     4.626064e-35
 3.162277e-02     5.591293e-35
 3.548136e-02     6.756138e-35
 3.981071e-02     8.158190e-35
 4.466837e-02     9.841546e-35
 5.011876e-02     1.185796e-34
 5.623413e-02     1.426843e-34
 6.309576e-02     1.714514e-34
 7.079456e-02     2.057356e-34
 7.943284e-02     2.465538e-34
 8.912515e-02     2.951149e-34
 1.000000e-01     3.528592e-34
 1.122019e-01     4.215614e-34
 1.258925e-01     5.005132e-34
 1.412538e-01     5.860087e-34
 1.584894e-01     6.769409e-34
 1.778279e-01     7.725658e-34
 1.995263e-01     8.722031e-34
 2.238721e-01     9.752157e-34
 2.511887e-01     1.081031e-33
 2.818385e-01     1.189146e-33
 3.162278e-01     1.299134e-33
 3.548135e-01     1.410651e-33
 3.981071e-01     1.523423e-33
 4.466837e-01     1.637247e-33
 5.011876e-01     1.751981e-33
 5.623413e-01     1.867536e-33
 6.309576e-01     1.982810e-33
 7.079456e-01     2.099181e-33
 7.943284e-01     2.216056e-33
 8.912515e-01     2.333213e-33
 1.000000e+00     2.450397e-33
 1.122019e+00     2.567208e-33
 1.258925e+00     2.683007e-33
 1.412538e+00     2.796797e-33
 1.584894e+00     2.907045e-33
 1.778279e+00     3.011441e-33
 1.995263e+00     3.106582e-33
 2.238721e+00     3.187563e-33
 2.511887e+00     3.247547e-33
 2.818385e+00     3.277419e-33
 3.162278e+00     3.265835e-33
 3.548136e+00     3.200125e-33
 3.981071e+00     3.068643e-33
 4.466837e+00     2.864780e-33
 5.011876e+00     2.594073e-33
 5.623413e+00     2.264857e-33
 6.309576e+00     1.908954e-33
 7.079456e+00     1.536526e-33
 7.943284e+00     1.203088e-33
 8.912516e+00     9.217270e-34
 1.000000e+01     6.946473e-34
 1.122019e+01     5.175590e-34
 1.258925e+01     3.838143e-34
 1.412538e+01     2.901365e-34
 1.584894e+01     2.219778e-34
 1.778279e+01     1.722743e-34
 1.995263e+01     1.357171e-34
 2.238721e+01     1.085441e-34
 2.511887e+01     8.807199e-35
 2.818385e+01     7.242308e-35
 3.162278e+01     6.026253e-35
 3.548135e+01     5.067248e-35
 3.981071e+01     4.300807e-35
 4.466837e+01     3.679942e-35
 5.011876e+01     3.171605e-35
 5.623413e+01     2.751273e-35
 6.309576e+01     2.400845e-35
