## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     4.372532e-40
 1.122019e-08     6.358102e-40
 1.258925e-08     9.069969e-40
 1.412538e-08     1.266516e-39
 1.584893e-08     1.733556e-39
 1.778279e-08     2.330467e-39
 1.995263e-08     3.082866e-39
 2.238721e-08     4.019995e-39
 2.511887e-08     5.175265e-39
 2.818382e-08     6.586840e-39
 3.162278e-08     8.298480e-39
 3.548135e-08     1.036038e-38
 3.981071e-08     1.283026e-38
 4.466837e-08     1.577471e-38
 5.011870e-08     1.927044e-38
 5.623413e-08     2.340623e-38
 6.309576e-08     2.828461e-38
 7.079456e-08     3.402424e-38
 7.943284e-08     4.076267e-38
 8.912505e-08     4.865898e-38
 1.000000e-07     5.789779e-38
 1.122019e-07     6.869276e-38
 1.258925e-07     8.129149e-38
 1.412538e-07     9.598142e-38
 1.584892e-07     1.130949e-37
 1.778279e-07     1.330182e-37
 1.995263e-07     1.561982e-37
 2.238721e-07     1.831528e-37
 2.511887e-07     2.144829e-37
 2.818382e-07     2.508844e-37
 3.162278e-07     2.931645e-37
 3.548136e-07     3.422581e-37
 3.981071e-07     3.992480e-37
 4.466837e-07     4.653912e-37
 5.011870e-07     5.421420e-37
 5.623413e-07     6.311885e-37
 6.309576e-07     7.344843e-37
 7.079456e-07     8.542935e-37
 7.943284e-07     9.932432e-37
 8.912505e-07     1.154373e-36
 1.000000e-06     1.341210e-36
 1.122019e-06     1.557838e-36
 1.258925e-06     1.808987e-36
 1.412538e-06     2.100151e-36
 1.584893e-06     2.437677e-36
 1.778279e-06     2.828935e-36
 1.995263e-06     3.282463e-36
 2.238721e-06     3.808145e-36
 2.511887e-06     4.417450e-36
 2.818382e-06     5.123651e-36
 3.162278e-06     5.942149e-36
 3.548136e-06     6.890775e-36
 3.981071e-06     7.990181e-36
 4.466837e-06     9.264338e-36
 5.011870e-06     1.074097e-35
 5.623413e-06     1.245226e-35
 6.309576e-06     1.443547e-35
 7.079456e-06     1.673374e-35
 7.943284e-06     1.939716e-35
 8.912505e-06     2.248364e-35
 1.000000e-05     2.606045e-35
 1.122019e-05     3.020541e-35
 1.258925e-05     3.500867e-35
 1.412538e-05     4.057489e-35
 1.584893e-05     4.702509e-35
 1.778279e-05     5.449972e-35
 1.995263e-05     6.316146e-35
 2.238721e-05     7.319867e-35
 2.511887e-05     8.482992e-35
 2.818382e-05     9.830814e-35
 3.162278e-05     1.139268e-34
 3.548135e-05     1.320257e-34
 3.981071e-05     1.529984e-34
 4.466837e-05     1.773016e-34
 5.011870e-05     2.054637e-34
 5.623413e-05     2.380979e-34
 6.309577e-05     2.759141e-34
 7.079457e-05     3.197346e-34
 7.943284e-05     3.705134e-34
 8.912505e-05     4.293546e-34
 1.000000e-04     4.975394e-34
 1.122018e-04     5.765502e-34
 1.258926e-04     6.679800e-34
 1.412538e-04     7.713885e-34
 1.584893e-04     8.906525e-34
 1.778279e-04     1.029012e-33
 1.995262e-04     1.189865e-33
 2.238722e-04     1.377101e-33
 2.511887e-04     1.595265e-33
 2.818383e-04     1.849719e-33
 3.162278e-04     2.146785e-33
 3.548134e-04     2.493933e-33
 3.981073e-04     2.899994e-33
 4.466837e-04     3.375415e-33
 5.011873e-04     3.932568e-33
 5.623413e-04     4.586110e-33
 6.309572e-04     5.353421e-33
 7.079460e-04     6.255126e-33
 7.943284e-04     7.315695e-33
 8.912510e-04     8.564211e-33
 1.000000e-03     1.003524e-32
 1.122018e-03     1.176988e-32
 1.258926e-03     1.381706e-32
 1.412538e-03     1.623500e-32
 1.584893e-03     1.909305e-32
 1.778279e-03     2.247389e-32
 1.995262e-03     2.647607e-32
 2.238722e-03     3.121714e-32
 2.511887e-03     3.683732e-32
 2.818383e-03     4.350404e-32
 3.162278e-03     5.141726e-32
 3.548133e-03     6.081573e-32
 3.981073e-03     7.198497e-32
 4.466837e-03     8.526604e-32
 5.011873e-03     1.010672e-31
 5.623413e-03     1.198776e-31
 6.309573e-03     1.422852e-31
 7.079460e-03     1.689999e-31
 7.943284e-03     2.008853e-31
 8.912510e-03     2.390016e-31
 1.000000e-02     2.846608e-31
 1.122019e-02     3.394966e-31
 1.258925e-02     4.055443e-31
 1.412538e-02     4.853346e-31
 1.584894e-02     5.819839e-31
 1.778279e-02     6.992934e-31
 1.995263e-02     8.418500e-31
 2.238721e-02     1.015119e-30
 2.511887e-02     1.225567e-30
 2.818385e-02     1.480782e-30
 3.162277e-02     1.789634e-30
 3.548136e-02     2.162497e-30
 3.981071e-02     2.611469e-30
 4.466837e-02     3.150738e-30
 5.011876e-02     3.796948e-30
 5.623413e-02     4.569701e-30
 6.309576e-02     5.492190e-30
 7.079456e-02     6.591857e-30
 7.943284e-02     7.901343e-30
 8.912515e-02     9.459439e-30
 1.000000e-01     1.131235e-29
 1.122019e-01     1.351717e-29
 1.258925e-01     1.605807e-29
 1.412538e-01     1.883556e-29
 1.584894e-01     2.180413e-29
 1.778279e-01     2.493430e-29
 1.995263e-01     2.820183e-29
 2.238721e-01     3.158493e-29
 2.511887e-01     3.506419e-29
 2.818385e-01     3.862254e-29
 3.162278e-01     4.224540e-29
 3.548135e-01     4.592086e-29
 3.981071e-01     4.963943e-29
 4.466837e-01     5.339401e-29
 5.011876e-01     5.717952e-29
 5.623413e-01     6.099267e-29
 6.309576e-01     6.482220e-29
 7.079456e-01     6.867847e-29
 7.943284e-01     7.255823e-29
 8.912515e-01     7.645983e-29
 1.000000e+00     8.038159e-29
