## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.720919e-37
 1.122019e-08     3.967466e-37
 1.258925e-08     5.753804e-37
 1.412538e-08     8.263506e-37
 1.584893e-08     1.171703e-36
 1.778279e-08     1.637324e-36
 1.995263e-08     2.253145e-36
 2.238721e-08     3.053479e-36
 2.511887e-08     4.077571e-36
 2.818382e-08     5.370233e-36
 3.162278e-08     6.982729e-36
 3.548135e-08     8.973680e-36
 3.981071e-08     1.141023e-35
 4.466837e-08     1.436946e-35
 5.011870e-08     1.793978e-35
 5.623413e-08     2.222302e-35
 6.309576e-08     2.733635e-35
 7.079456e-08     3.341487e-35
 7.943284e-08     4.061478e-35
 8.912505e-08     4.911630e-35
 1.000000e-07     5.912827e-35
 1.122019e-07     7.089209e-35
 1.258925e-07     8.468723e-35
 1.412538e-07     1.008379e-34
 1.584892e-07     1.197188e-34
 1.778279e-07     1.417655e-34
 1.995263e-07     1.674816e-34
 2.238721e-07     1.974509e-34
 2.511887e-07     2.323509e-34
 2.818382e-07     2.729656e-34
 3.162278e-07     3.202051e-34
 3.548136e-07     3.751230e-34
 3.981071e-07     4.389403e-34
 4.466837e-07     5.130741e-34
 5.011870e-07     5.991637e-34
 5.623413e-07     6.991124e-34
 6.309576e-07     8.151234e-34
 7.079456e-07     9.497494e-34
 7.943284e-07     1.105953e-33
 8.912505e-07     1.287160e-33
 1.000000e-06     1.497351e-33
 1.122019e-06     1.741131e-33
 1.258925e-06     2.023833e-33
 1.412538e-06     2.351650e-33
 1.584893e-06     2.731744e-33
 1.778279e-06     3.172428e-33
 1.995263e-06     3.683329e-33
 2.238721e-06     4.275595e-33
 2.511887e-06     4.962161e-33
 2.818382e-06     5.757995e-33
 3.162278e-06     6.680469e-33
 3.548136e-06     7.749693e-33
 3.981071e-06     8.988961e-33
 4.466837e-06     1.042531e-32
 5.011870e-06     1.209001e-32
 5.623413e-06     1.401936e-32
 6.309576e-06     1.625537e-32
 7.079456e-06     1.884672e-32
 7.943284e-06     2.184990e-32
 8.912505e-06     2.533023e-32
 1.000000e-05     2.936356e-32
 1.122019e-05     3.403769e-32
 1.258925e-05     3.945428e-32
 1.412538e-05     4.573139e-32
 1.584893e-05     5.300551e-32
 1.778279e-05     6.143506e-32
 1.995263e-05     7.120353e-32
 2.238721e-05     8.252337e-32
 2.511887e-05     9.564110e-32
 2.818382e-05     1.108420e-31
 3.162278e-05     1.284570e-31
 3.548135e-05     1.488694e-31
 3.981071e-05     1.725233e-31
 4.466837e-05     1.999337e-31
 5.011870e-05     2.316963e-31
 5.623413e-05     2.685031e-31
 6.309577e-05     3.111547e-31
 7.079457e-05     3.605784e-31
 7.943284e-05     4.178506e-31
 8.912505e-05     4.842164e-31
 1.000000e-04     5.611209e-31
 1.122018e-04     6.502360e-31
 1.258926e-04     7.534935e-31
 1.412538e-04     8.726776e-31
 1.584893e-04     1.010101e-30
 1.778279e-04     1.168575e-30
