## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     4.012499e-44
 1.122019e-08     5.840323e-44
 1.258925e-08     8.314773e-44
 1.412538e-08     1.157892e-43
 1.584893e-08     1.580608e-43
 1.778279e-08     2.119587e-43
 1.995263e-08     2.797614e-43
 2.238721e-08     3.640661e-43
 2.511887e-08     4.678400e-43
 2.818382e-08     5.944734e-43
 3.162278e-08     7.478546e-43
 3.548135e-08     9.324449e-43
 3.981071e-08     1.153378e-42
 4.466837e-08     1.416573e-42
 5.011870e-08     1.728856e-42
 5.623413e-08     2.098125e-42
 6.309576e-08     2.533505e-42
 7.079456e-08     3.045554e-42
 7.943284e-08     3.646516e-42
 8.912505e-08     4.350549e-42
 1.000000e-07     5.174085e-42
 1.122019e-07     6.136144e-42
 1.258925e-07     7.258764e-42
 1.412538e-07     8.567531e-42
 1.584892e-07     1.009203e-41
 1.778279e-07     1.186664e-41
 1.995263e-07     1.393114e-41
 2.238721e-07     1.633163e-41
 2.511887e-07     1.912162e-41
 2.818382e-07     2.236302e-41
 3.162278e-07     2.612769e-41
 3.548136e-07     3.049885e-41
 3.981071e-07     3.557289e-41
 4.466837e-07     4.146170e-41
 5.011870e-07     4.829471e-41
 5.623413e-07     5.622218e-41
 6.309576e-07     6.541803e-41
 7.079456e-07     7.608376e-41
 7.943284e-07     8.845324e-41
 8.912505e-07     1.027969e-40
 1.000000e-06     1.194290e-40
 1.122019e-06     1.387127e-40
 1.258925e-06     1.610692e-40
 1.412538e-06     1.869874e-40
 1.584893e-06     2.170324e-40
 1.778279e-06     2.518601e-40
 1.995263e-06     2.922306e-40
 2.238721e-06     3.390235e-40
 2.511887e-06     3.932597e-40
 2.818382e-06     4.561207e-40
 3.162278e-06     5.289773e-40
 3.548136e-06     6.134166e-40
 3.981071e-06     7.112769e-40
 4.466837e-06     8.246918e-40
 5.011870e-06     9.561292e-40
 5.623413e-06     1.108454e-39
 6.309576e-06     1.284981e-39
 7.079456e-06     1.489553e-39
 7.943284e-06     1.726626e-39
 8.912505e-06     2.001357e-39
 1.000000e-05     2.319731e-39
 1.122019e-05     2.688676e-39
 1.258925e-05     3.116217e-39
 1.412538e-05     3.611669e-39
 1.584893e-05     4.185804e-39
 1.778279e-05     4.851123e-39
 1.995263e-05     5.622107e-39
 2.238721e-05     6.515522e-39
 2.511887e-05     7.550822e-39
 2.818382e-05     8.750521e-39
 3.162278e-05     1.014074e-38
 3.548135e-05     1.175172e-38
 3.981071e-05     1.361851e-38
 4.466837e-05     1.578174e-38
 5.011870e-05     1.828844e-38
 5.623413e-05     2.119322e-38
 6.309577e-05     2.455924e-38
 7.079457e-05     2.845969e-38
 7.943284e-05     3.297951e-38
 8.912505e-05     3.821697e-38
 1.000000e-04     4.428610e-38
 1.122018e-04     5.131884e-38
 1.258926e-04     5.945792e-38
 1.412538e-04     6.863187e-38
 1.584893e-04     7.923472e-38
 1.778279e-04     9.154956e-38
 1.995262e-04     1.058728e-37
 2.238722e-04     1.225487e-37
 2.511887e-04     1.419823e-37
 2.818383e-04     1.646518e-37
 3.162278e-04     1.911214e-37
 3.548134e-04     2.220577e-37
 3.981073e-04     2.582493e-37
 4.466837e-04     3.006287e-37
 5.011873e-04     3.503005e-37
 5.623413e-04     4.085737e-37
 6.309572e-04     4.770002e-37
 7.079460e-04     5.574223e-37
 7.943284e-04     6.520256e-37
 8.912510e-04     7.634080e-37
 1.000000e-03     8.946575e-37
 1.122018e-03     1.049446e-36
 1.258926e-03     1.232147e-36
 1.412538e-03     1.447960e-36
 1.584893e-03     1.703084e-36
 1.778279e-03     2.004909e-36
 1.995262e-03     2.362242e-36
 2.238722e-03     2.785591e-36
 2.511887e-03     3.287489e-36
 2.818383e-03     3.882903e-36
 3.162278e-03     4.589710e-36
 3.548133e-03     5.429255e-36
 3.981073e-03     6.427066e-36
 4.466837e-03     7.613638e-36
 5.011873e-03     9.025479e-36
 5.623413e-03     1.070634e-35
 6.309573e-03     1.270881e-35
 7.079460e-03     1.509646e-35
 7.943284e-03     1.794667e-35
 8.912510e-03     2.135454e-35
 1.000000e-02     2.543793e-35
 1.122019e-02     3.034371e-35
 1.258925e-02     3.625492e-35
 1.412538e-02     4.339914e-35
 1.584894e-02     5.205631e-35
 1.778279e-02     6.256746e-35
 1.995263e-02     7.534344e-35
 2.238721e-02     9.087303e-35
 2.511887e-02     1.097336e-34
 2.818385e-02     1.326021e-34
 3.162277e-02     1.602691e-34
 3.548136e-02     1.936589e-34
 3.981071e-02     2.338496e-34
 4.466837e-02     2.821057e-34
 5.011876e-02     3.399113e-34
 5.623413e-02     4.090153e-34
 6.309576e-02     4.914876e-34
 7.079456e-02     5.897786e-34
 7.943284e-02     7.068038e-34
 8.912515e-02     8.460294e-34
 1.000000e-01     1.011584e-33
 1.122019e-01     1.208551e-33
 1.258925e-01     1.435042e-33
 1.412538e-01     1.680467e-33
 1.584894e-01     1.941583e-33
 1.778279e-01     2.216226e-33
 1.995263e-01     2.502433e-33
 2.238721e-01     2.798370e-33
