## EBL from Khaire & Srianand 2018; Q20 Model with alpha=-2.0 
## Column1:wavelength (Angstrom);  Column2:EBL specific intensity J_nu (erg/s/cm^2/Hz/Sr)
## ===========================================================================================
 1.000000e-08     2.409328e-42
 1.122019e-08     3.508811e-42
 1.258925e-08     5.000102e-42
 1.412538e-08     6.969603e-42
 1.584893e-08     9.522348e-42
 1.778279e-08     1.277953e-41
 1.995263e-08     1.687956e-41
 2.238721e-08     2.198022e-41
 2.511887e-08     2.826178e-41
 2.818382e-08     3.593015e-41
 3.162278e-08     4.522152e-41
 3.548135e-08     5.640684e-41
 3.981071e-08     6.979780e-41
 4.466837e-08     8.575392e-41
 5.011870e-08     1.046896e-40
 5.623413e-08     1.270843e-40
 6.309576e-08     1.534920e-40
 7.079456e-08     1.845538e-40
 7.943284e-08     2.210129e-40
 8.912505e-08     2.637287e-40
 1.000000e-07     3.136989e-40
 1.122019e-07     3.720779e-40
 1.258925e-07     4.402037e-40
 1.412538e-07     5.196293e-40
 1.584892e-07     6.121508e-40
 1.778279e-07     7.198550e-40
 1.995263e-07     8.451568e-40
 2.238721e-07     9.908549e-40
 2.511887e-07     1.160197e-39
 2.818382e-07     1.356941e-39
 3.162278e-07     1.585451e-39
 3.548136e-07     1.850777e-39
 3.981071e-07     2.158771e-39
 4.466837e-07     2.516225e-39
 5.011870e-07     2.930997e-39
 5.623413e-07     3.412206e-39
 6.309576e-07     3.970413e-39
 7.079456e-07     4.617848e-39
 7.943284e-07     5.368709e-39
 8.912505e-07     6.239415e-39
 1.000000e-06     7.249031e-39
 1.122019e-06     8.419621e-39
 1.258925e-06     9.776745e-39
 1.412538e-06     1.135008e-38
 1.584893e-06     1.317392e-38
 1.778279e-06     1.528811e-38
 1.995263e-06     1.773877e-38
 2.238721e-06     2.057930e-38
 2.511887e-06     2.387167e-38
 2.818382e-06     2.768762e-38
 3.162278e-06     3.211035e-38
 3.548136e-06     3.723620e-38
 3.981071e-06     4.317678e-38
 4.466837e-06     5.006160e-38
 5.011870e-06     5.804047e-38
 5.623413e-06     6.728730e-38
 6.309576e-06     7.800337e-38
 7.079456e-06     9.042186e-38
 7.943284e-06     1.048134e-37
 8.912505e-06     1.214909e-37
 1.000000e-05     1.408178e-37
 1.122019e-05     1.632146e-37
 1.258925e-05     1.891684e-37
 1.412538e-05     2.192448e-37
 1.584893e-05     2.540977e-37
 1.778279e-05     2.944859e-37
 1.995263e-05     3.412885e-37
 2.238721e-05     3.955233e-37
 2.511887e-05     4.583713e-37
 2.818382e-05     5.311990e-37
 3.162278e-05     6.155925e-37
 3.548135e-05     7.133872e-37
 3.981071e-05     8.267104e-37
 4.466837e-05     9.580296e-37
 5.011870e-05     1.110199e-36
 5.623413e-05     1.286534e-36
 6.309577e-05     1.490868e-36
 7.079457e-05     1.727646e-36
 7.943284e-05     2.002022e-36
 8.912505e-05     2.319962e-36
 1.000000e-04     2.688390e-36
 1.122018e-04     3.115313e-36
 1.258926e-04     3.609493e-36
 1.412538e-04     4.167031e-36
 1.584893e-04     4.810787e-36
 1.778279e-04     5.558292e-36
 1.995262e-04     6.427628e-36
 2.238722e-04     7.439704e-36
 2.511887e-04     8.619092e-36
 2.818383e-04     9.994790e-36
 3.162278e-04     1.160102e-35
 3.548134e-04     1.347822e-35
 3.981073e-04     1.567420e-35
 4.466837e-04     1.824552e-35
 5.011873e-04     2.125916e-35
 5.623413e-04     2.479449e-35
 6.309572e-04     2.894562e-35
 7.079460e-04     3.382425e-35
 7.943284e-04     3.956291e-35
 8.912510e-04     4.631911e-35
 1.000000e-03     5.428007e-35
 1.122018e-03     6.366841e-35
 1.258926e-03     7.474927e-35
 1.412538e-03     8.783789e-35
 1.584893e-03     1.033101e-34
 1.778279e-03     1.216138e-34
 1.995262e-03     1.432830e-34
 2.238722e-03     1.689545e-34
 2.511887e-03     1.993882e-34
 2.818383e-03     2.354914e-34
 3.162278e-03     2.783475e-34
 3.548133e-03     3.292506e-34
 3.981073e-03     3.897479e-34
 4.466837e-03     4.616877e-34
 5.011873e-03     5.472829e-34
 5.623413e-03     6.491848e-34
 6.309573e-03     7.705805e-34
 7.079460e-03     9.153207e-34
 7.943284e-03     1.088091e-33
 8.912510e-03     1.294649e-33
 1.000000e-02     1.542124e-33
 1.122019e-02     1.839403e-33
 1.258925e-02     2.197559e-33
 1.412538e-02     2.630359e-33
 1.584894e-02     3.154750e-33
 1.778279e-02     3.791385e-33
 1.995263e-02     4.565160e-33
 2.238721e-02     5.505707e-33
 2.511887e-02     6.648046e-33
 2.818385e-02     8.033244e-33
 3.162277e-02     9.709280e-33
 3.548136e-02     1.173224e-32
 3.981071e-02     1.416754e-32
 4.466837e-02     1.709190e-32
 5.011876e-02     2.059537e-32
 5.623413e-02     2.478399e-32
 6.309576e-02     2.978332e-32
 7.079456e-02     3.574194e-32
 7.943284e-02     4.283661e-32
 8.912515e-02     5.127747e-32
 1.000000e-01     6.131484e-32
 1.122019e-01     7.325556e-32
 1.258925e-01     8.701926e-32
 1.412538e-01     1.019671e-31
 1.584894e-01     1.178869e-31
 1.778279e-01     1.346419e-31
 1.995263e-01     1.521110e-31
 2.238721e-01     1.701812e-31
 2.511887e-01     1.887511e-31
